,Cycle,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
,1,20.8172044749863,57.5418024804312,20.5805497796746,11.7619279505652,19.1214942354109,26.8371596207753,20.7377982938069,49.7951379837205,15.6783334670135,10.9517257080252,18.8860034755726,17.904791148434,20.5250861573641,16.0072485064857,62.2768862325011,13.708402956473,11.6910736036562,51.6856804239296,10.7155385188653,17.3039209038307,60.0909347289189,15.5329199381094,53.3030277320468,17.3866320939496,18.7570814794226,27.0783019880028,14.7371481287,12.2585075908019,14.5529449614996,12.9008597447864,26.4807091526054,46.3388583923861,16.7877911296773,16.7169171941905,11.3712958307933,13.6635039340117,11.9441176979572,54.0192836602746,56.2594330059555,61.5994035692274,55.1029257414993,13.4264411836039,21.151191631996,20.7812650265278,11.175917587947,16.7422932914769,15.958925517737,14.2052575384314,10.4799415691668,51.7928626812181,57.9651392469223,15.5651859572272,25.1199358358681,12.0056533779325,61.4961235389883,13.34793963018,13.3657151023126,10.6890599502276,18.2228912883238,53.487153406576,12.7933782779419,14.7859575417688,47.3965011669461,11.2452713645016,13.0730516930525,11.4615961442378,50.1925535253995,19.2638701363639,53.6625658311459,58.4655805471748,46.1665131943128,16.969922984531,21.9303661134018,15.8815326955173,61.7717638643226,19.6660824553619,10.5287834558103,16.0947928131145,11.9917181827814,25.9098736475389,53.2617669569681,62.3176037061849,17.8267435794314,19.2564793199717,10.3289351846934,22.4988957850774,12.0267381265521,18.1918245809675,12.4384785001084,14.2920202721052,23.6699007310208,61.8321978831191,10.8483299917034,22.1550522491179,11.8002914322215,23.3730561577959
,2,29.4972720137866,81.9210377799918,29.1615631944205,16.647793537275,27.0876826191006,38.0738183002904,29.3833669930409,70.7898593426198,22.2017201073986,15.5008665725763,26.7538537031623,25.3580313506664,29.082217193738,22.6934826739189,88.695611594484,19.4078069633479,16.5466534012221,73.5232680244781,15.1662210389813,24.5494837368151,85.5668510200603,21.9902120409488,75.8112435673893,24.626792872944,26.6099227375826,38.4229228129007,20.866314681557,17.3525894778804,20.6051068610286,18.2625676653161,37.5643964559904,65.8726979608227,23.7756247849993,23.7108076216455,16.093364927714,19.3449395370999,16.9069807177166,76.8313780693052,80.0691995350335,87.7330324058894,78.4121881898482,19.0035862678051,29.9707455584894,29.4441433535867,15.8181602975183,23.7124296198808,22.6329047417266,20.1128736648689,14.8318222084417,73.6683083067101,82.5096372611315,22.0773162475434,35.6319202439927,16.9897001093477,87.5786764962377,18.8964919512955,18.9220480653157,15.1301825650744,25.8134326515328,76.1087559676826,18.1104242881856,20.9337337953466,67.377021059011,15.916642391594,18.5089562811227,16.2217176571648,71.3921256109252,27.2884607684173,76.3589005531467,83.2513405730951,65.6293082939364,24.0782695121688,31.0780184194664,22.5237783752209,87.9957290661123,27.8617331460191,14.8998418941974,22.8359298929745,16.9749724487338,36.7623676026788,75.7871496811367,88.7593344628976,25.2505715035304,27.3294056424511,14.6171668618026,31.8826320384205,17.0201601511526,25.7680116625634,17.6077068893992,20.2329436204182,33.5722104142051,88.0821180834992,15.3538933341924,31.3918155474721,16.7017248294114,33.1449612434526
,3,41.8735264822062,116.51427731662,41.3973336170739,23.6232413459929,38.4493027434573,54.0743254046401,41.7101139818733,100.623777628368,31.5094736786059,21.9930388829798,37.9754680776095,35.9900878799745,41.2846102976619,32.2224353364591,126.168163984459,27.5416315222647,23.4793838468349,104.536979405293,21.5179949941121,34.8676093207196,121.709174306334,31.2056301944476,107.780397852983,34.9528771255054,37.7938363376579,54.5738393613346,29.6129651933043,24.6216076094761,29.2418213583915,25.9149879699389,53.348474568219,93.6326839308731,33.7442903256542,33.6734164034788,22.8348897045789,27.453349266224,23.9900702154928,109.232390767015,113.865496553763,124.798526844076,111.502287365844,26.964228574745,42.5451588613278,41.7976394412008,22.4443157657488,33.6542447658458,32.140839821639,28.542415068503,21.0440264291019,104.737303021951,117.342187450527,31.3505594239332,50.6034442906139,24.1061166041045,124.576200752612,26.8142915422741,26.8507782576944,21.4665849789735,36.6393954067389,108.225601095241,25.6990860614114,29.7056152381274,95.7717403645484,22.5853097869021,26.2650607404985,23.0175812195102,101.500313224212,38.7335953967167,108.579687780461,118.413202494121,93.2880662588723,34.1990312943699,44.1183450148228,31.9843770544767,125.183445551897,39.5487215734393,21.1407970398741,32.4340962109482,24.0865008601131,52.2148228605583,107.767168293183,126.262459598402,35.8383555354949,38.8203995847434,20.7399665516787,45.2611237681558,24.1497113137721,36.5726217371812,24.9844363296806,28.7122532614012,47.6760377799628,125.305103632238,21.7852300728191,44.5632580302454,23.6990731448877,47.0662894929983
,4,59.4999641828435,165.450855928131,58.821879619356,33.5722802879445,54.6370556092006,76.8241506993618,59.2683952088155,142.916408547099,44.7781141850628,31.2560526197649,53.9621885057322,51.1443561375218,58.6633294106186,45.782670744783,179.150012762432,39.1389397632092,33.3678684954775,148.459867247278,30.5811314472676,49.5355904471544,172.821777467274,44.3475479084709,153.070121835537,49.6688197622279,53.6936724195411,77.5309634083342,42.0829185238736,34.991504710214,41.5553886156767,36.8287070402357,75.7945751762481,132.988461133591,47.9523046390968,47.8412667347229,32.4515593894203,39.0133461574505,34.0938324023373,155.132677185202,161.696726466006,177.204949120847,158.345011548595,38.3200282092512,60.4550582384709,59.3920250219389,31.8975653128009,47.8242733937586,45.664663883952,40.5611647506958,29.9071590309914,148.747077044125,166.631453441042,44.5430019791365,71.8934023646061,34.2598235901633,176.891066891454,38.1069599090388,38.1586658513197,30.5085632710461,52.0640958430977,153.691748690603,36.5228929968953,42.2160807160026,136.024954183531,32.0974166281731,37.3259063145888,32.7119849101,144.15098987738,55.0403911743988,154.195624585449,168.143515716772,132.496928866759,48.5858891213438,62.6894041112173,45.4427475398279,177.744605421461,56.1977649118653,30.0457401881795,46.0788570146469,34.2307630022715,74.1801374924489,153.042034304556,179.281200445995,50.9266744856559,55.1491595675816,29.4758577572848,64.3123217175071,34.3209960724798,51.9711127659648,35.5065940466984,40.8037559989261,67.7362889879751,177.918843955246,30.9611439598375,63.3222737298847,33.6799881082961,66.8723252548498
,5,84.5677711626049,234.379326862134,83.6062504560896,47.7521484237359,77.6679792141358,109.097717144397,84.2427635176418,202.660386823139,63.6690253613333,44.4620409183162,76.7115109924707,72.7160763908005,83.3794166030975,65.0469003374119,253.719865759736,55.6626454374482,47.4631887584028,210.428968769291,43.5025679717082,70.3446035272509,244.789576019266,63.0695330475219,216.992778390937,70.6159889012815,76.2500664447698,110.089436320731,59.8429425750255,49.7706796561406,59.0943370245814,52.3802462961357,107.642507365239,188.587815917825,68.1791822436589,67.9487354334988,46.163852826161,55.4815203831504,48.4935383002212,219.910815994397,229.113932091069,250.963123787656,224.385977516092,54.5094724370319,85.9246300831455,84.418522710137,45.3723021024716,67.9961776422997,64.8632359024732,57.6825235045353,42.5448843556687,210.852992995755,236.080555435252,63.2665464410693,102.10814353091,48.736534297077,250.530926351715,54.1968999933706,54.2697129522758,43.3969997785225,74.0162471336616,217.800115147722,51.9436066975886,60.0378697678034,192.893910294059,45.6546464549283,53.0833525291155,46.5311337421554,204.337673207237,78.2450161380102,218.514695097586,238.166059128583,187.889462668787,68.9907262261249,89.0950767307477,64.5492900023482,251.693760481884,79.8842509019678,42.7413327522681,65.4318318442392,48.687711605995,105.335083855609,216.880546585826,253.895305178683,72.4042106846191,78.29762559349,41.9303477831627,91.4035630728613,48.8232830808047,73.887196417244,50.5021602651459,58.0304077006895,96.2090111227708,251.939884197935,44.0413556975891,90.0009345152348,47.9072784465807,94.9923773027067
