,Well,Fluor,Target,Content,Sample,Biological Set Name,Cq,Cq Mean,Cq Std. Dev,Starting Quantity (SQ),Log Starting Quantity,SQ Mean,SQ Std. Dev,Set Point,Well Note
,A01,Cy5,E_covid,Neg Ctrl,,,2.55476533906167,2.55476533906167,0,NaN,NaN,NaN,0,60,
,A02,Cy5,E_covid,Unkn,,,2.91191170634355,2.91191170634355,0,NaN,NaN,NaN,0,60,
,A03,Cy5,E_covid,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,A04,Cy5,E_covid,Unkn,,,2.85209803058547,2.85209803058547,0,NaN,NaN,NaN,0,60,
,A05,Cy5,E_covid,Unkn,,,3.58597956393912,3.58597956393912,0,NaN,NaN,NaN,0,60,
,A06,Cy5,E_covid,Unkn,,,2.48565562485626,2.48565562485626,0,NaN,NaN,NaN,0,60,
,A07,Cy5,E_covid,Unkn,,,1.12152182344525,1.12152182344525,0,NaN,NaN,NaN,0,60,
,A08,Cy5,E_covid,Unkn,,,2.99607447577861,2.99607447577861,0,NaN,NaN,NaN,0,60,
,A09,Cy5,E_covid,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,A10,Cy5,E_covid,Pos Ctrl,,,4.62645375658179,4.62645375658179,0,NaN,NaN,NaN,0,60,
,A11,Cy5,E_covid,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,A12,Cy5,E_covid,Unkn,,,3.18195437896743,3.18195437896743,0,NaN,NaN,NaN,0,60,
,B01,Cy5,E_covid,Unkn,,,4.2462573067089,4.2462573067089,0,NaN,NaN,NaN,0,60,
,B02,Cy5,E_covid,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,B03,Cy5,E_covid,Unkn,,,1.30689732939666,1.30689732939666,0,NaN,NaN,NaN,0,60,
,B04,Cy5,E_covid,Unkn,,,4.94074755806095,4.94074755806095,0,NaN,NaN,NaN,0,60,
,B05,Cy5,E_covid,Unkn,,,2.94294785152783,2.94294785152783,0,NaN,NaN,NaN,0,60,
,B06,Cy5,E_covid,Unkn,,,2.92105530878531,2.92105530878531,0,NaN,NaN,NaN,0,60,
,B07,Cy5,E_covid,Unkn,,,3.55285786102771,3.55285786102771,0,NaN,NaN,NaN,0,60,
,B08,Cy5,E_covid,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,B09,Cy5,E_covid,Unkn,,,2.80590694340229,2.80590694340229,0,NaN,NaN,NaN,0,60,
,B10,Cy5,E_covid,Unkn,,,2.35127606015985,2.35127606015985,0,NaN,NaN,NaN,0,60,
,B11,Cy5,E_covid,Unkn,,,1.0803718404685,1.0803718404685,0,NaN,NaN,NaN,0,60,
,B12,Cy5,E_covid,Unkn,,,3.89669440121844,3.89669440121844,0,NaN,NaN,NaN,0,60,
,C01,Cy5,E_covid,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,C02,Cy5,E_covid,Unkn,,,4.68294889472192,4.68294889472192,0,NaN,NaN,NaN,0,60,
,C03,Cy5,E_covid,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,C04,Cy5,E_covid,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,C05,Cy5,E_covid,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,C06,Cy5,E_covid,Unkn,,,2.70986224213461,2.70986224213461,0,NaN,NaN,NaN,0,60,
,C07,Cy5,E_covid,Unkn,,,3.97728283435618,3.97728283435618,0,NaN,NaN,NaN,0,60,
,C08,Cy5,E_covid,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,C09,Cy5,E_covid,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,C10,Cy5,E_covid,Unkn,,,2.66360093761338,2.66360093761338,0,NaN,NaN,NaN,0,60,
,C11,Cy5,E_covid,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,C12,Cy5,E_covid,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,D01,Cy5,E_covid,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,D02,Cy5,E_covid,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,D03,Cy5,E_covid,Unkn,,,3.41479891812346,3.41479891812346,0,NaN,NaN,NaN,0,60,
,D04,Cy5,E_covid,Unkn,,,3.01965569052149,3.01965569052149,0,NaN,NaN,NaN,0,60,
,D05,Cy5,E_covid,Unkn,,,4.28782847379671,4.28782847379671,0,NaN,NaN,NaN,0,60,
,D06,Cy5,E_covid,Unkn,,,1.07185715133371,1.07185715133371,0,NaN,NaN,NaN,0,60,
,D07,Cy5,E_covid,Unkn,,,2.82773719478317,2.82773719478317,0,NaN,NaN,NaN,0,60,
,D08,Cy5,E_covid,Unkn,,,4.10418475047915,4.10418475047915,0,NaN,NaN,NaN,0,60,
,D09,Cy5,E_covid,Unkn,,,3.89827354927384,3.89827354927384,0,NaN,NaN,NaN,0,60,
,D10,Cy5,E_covid,Unkn,,,3.99624456986472,3.99624456986472,0,NaN,NaN,NaN,0,60,
,D11,Cy5,E_covid,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,D12,Cy5,E_covid,Unkn,,,2.90141964188327,2.90141964188327,0,NaN,NaN,NaN,0,60,
,E01,Cy5,E_covid,Unkn,,,3.87916527385344,3.87916527385344,0,NaN,NaN,NaN,0,60,
,E02,Cy5,E_covid,Unkn,,,4.0064565337367,4.0064565337367,0,NaN,NaN,NaN,0,60,
,E03,Cy5,E_covid,Unkn,,,3.90323375913053,3.90323375913053,0,NaN,NaN,NaN,0,60,
,E04,Cy5,E_covid,Unkn,,,3.45936954415857,3.45936954415857,0,NaN,NaN,NaN,0,60,
,E05,Cy5,E_covid,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,E06,Cy5,E_covid,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,E07,Cy5,E_covid,Unkn,,,2.29544161960855,2.29544161960855,0,NaN,NaN,NaN,0,60,
,E08,Cy5,E_covid,Unkn,,,2.88121525211872,2.88121525211872,0,NaN,NaN,NaN,0,60,
,E09,Cy5,E_covid,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,E10,Cy5,E_covid,Unkn,,,4.273108543259,4.273108543259,0,NaN,NaN,NaN,0,60,
,E11,Cy5,E_covid,Unkn,,,1.25855322393418,1.25855322393418,0,NaN,NaN,NaN,0,60,
,E12,Cy5,E_covid,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,F01,Cy5,E_covid,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,F02,Cy5,E_covid,Unkn,,,3.66966792758679,3.66966792758679,0,NaN,NaN,NaN,0,60,
,F03,Cy5,E_covid,Unkn,,,1.07629017285514,1.07629017285514,0,NaN,NaN,NaN,0,60,
,F04,Cy5,E_covid,Unkn,,,1.34115577096679,1.34115577096679,0,NaN,NaN,NaN,0,60,
,F05,Cy5,E_covid,Unkn,,,1.46747347441628,1.46747347441628,0,NaN,NaN,NaN,0,60,
,F06,Cy5,E_covid,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,F07,Cy5,E_covid,Unkn,,,4.60787562240743,4.60787562240743,0,NaN,NaN,NaN,0,60,
,F08,Cy5,E_covid,Unkn,,,2.87817355084258,2.87817355084258,0,NaN,NaN,NaN,0,60,
,F09,Cy5,E_covid,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,F10,Cy5,E_covid,Unkn,,,2.95649502339183,2.95649502339183,0,NaN,NaN,NaN,0,60,
,F11,Cy5,E_covid,Unkn,,,3.22749042435634,3.22749042435634,0,NaN,NaN,NaN,0,60,
,F12,Cy5,E_covid,Unkn,,,3.13592014190027,3.13592014190027,0,NaN,NaN,NaN,0,60,
,G01,Cy5,E_covid,Unkn,,,3.32323800434662,3.32323800434662,0,NaN,NaN,NaN,0,60,
,G02,Cy5,E_covid,Unkn,,,2.58611206408952,2.58611206408952,0,NaN,NaN,NaN,0,60,
,G03,Cy5,E_covid,Unkn,,,3.13958222696155,3.13958222696155,0,NaN,NaN,NaN,0,60,
,G04,Cy5,E_covid,Unkn,,,3.30643558837205,3.30643558837205,0,NaN,NaN,NaN,0,60,
,G05,Cy5,E_covid,Unkn,,,2.46416228913708,2.46416228913708,0,NaN,NaN,NaN,0,60,
,G06,Cy5,E_covid,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,G07,Cy5,E_covid,Unkn,,,2.71071050326262,2.71071050326262,0,NaN,NaN,NaN,0,60,
,G08,Cy5,E_covid,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,G09,Cy5,E_covid,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,G10,Cy5,E_covid,Unkn,,,4.21570859462696,4.21570859462696,0,NaN,NaN,NaN,0,60,
,G11,Cy5,E_covid,Unkn,,,3.25174468633328,3.25174468633328,0,NaN,NaN,NaN,0,60,
,G12,Cy5,E_covid,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,H01,Cy5,E_covid,Unkn,,,3.19604905209911,3.19604905209911,0,NaN,NaN,NaN,0,60,
,H02,Cy5,E_covid,Unkn,,,1.54704335072923,1.54704335072923,0,NaN,NaN,NaN,0,60,
,H03,Cy5,E_covid,Unkn,,,1.03201889508937,1.03201889508937,0,NaN,NaN,NaN,0,60,
,H04,Cy5,E_covid,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,H05,Cy5,E_covid,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,H06,Cy5,E_covid,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,H07,Cy5,E_covid,Unkn,,,2.10282015911244,2.10282015911244,0,NaN,NaN,NaN,0,60,
,H08,Cy5,E_covid,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,H09,Cy5,E_covid,Unkn,,,4.36834769623932,4.36834769623932,0,NaN,NaN,NaN,0,60,
,H10,Cy5,E_covid,Unkn,,,3.04889228256142,3.04889228256142,0,NaN,NaN,NaN,0,60,
,H11,Cy5,E_covid,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,H12,Cy5,E_covid,Unkn,,,1.08113111336976,1.08113111336976,0,NaN,NaN,NaN,0,60,
,A01,FAM,ORF1ab_covid,Neg Ctrl,,,3.66732005251028,3.66732005251028,0,NaN,NaN,NaN,0,60,
,A02,FAM,ORF1ab_covid,Unkn,,,3.75958178414043,3.75958178414043,0,NaN,NaN,NaN,0,60,
,A03,FAM,ORF1ab_covid,Unkn,,,3.39119648135026,3.39119648135026,0,NaN,NaN,NaN,0,60,
,A04,FAM,ORF1ab_covid,Unkn,,,1.478659353436,1.478659353436,0,NaN,NaN,NaN,0,60,
,A05,FAM,ORF1ab_covid,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,A06,FAM,ORF1ab_covid,Unkn,,,3.94073545324791,3.94073545324791,0,NaN,NaN,NaN,0,60,
,A07,FAM,ORF1ab_covid,Unkn,,,2.53771609905177,2.53771609905177,0,NaN,NaN,NaN,0,60,
,A08,FAM,ORF1ab_covid,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,A09,FAM,ORF1ab_covid,Unkn,,,3.51779384487056,3.51779384487056,0,NaN,NaN,NaN,0,60,
,A10,FAM,ORF1ab_covid,Pos Ctrl,,,4.76281297878856,4.76281297878856,0,NaN,NaN,NaN,0,60,
,A11,FAM,ORF1ab_covid,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,A12,FAM,ORF1ab_covid,Unkn,,,1.35720596310431,1.35720596310431,0,NaN,NaN,NaN,0,60,
,B01,FAM,ORF1ab_covid,Unkn,,,4.03445584345336,4.03445584345336,0,NaN,NaN,NaN,0,60,
,B02,FAM,ORF1ab_covid,Unkn,,,1.37094250603807,1.37094250603807,0,NaN,NaN,NaN,0,60,
,B03,FAM,ORF1ab_covid,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,B04,FAM,ORF1ab_covid,Unkn,,,3.19910949224095,3.19910949224095,0,NaN,NaN,NaN,0,60,
,B05,FAM,ORF1ab_covid,Unkn,,,1.63205236847349,1.63205236847349,0,NaN,NaN,NaN,0,60,
,B06,FAM,ORF1ab_covid,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,B07,FAM,ORF1ab_covid,Unkn,,,3.33885454286975,3.33885454286975,0,NaN,NaN,NaN,0,60,
,B08,FAM,ORF1ab_covid,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,B09,FAM,ORF1ab_covid,Unkn,,,4.28217506739785,4.28217506739785,0,NaN,NaN,NaN,0,60,
,B10,FAM,ORF1ab_covid,Unkn,,,4.13015367797834,4.13015367797834,0,NaN,NaN,NaN,0,60,
,B11,FAM,ORF1ab_covid,Unkn,,,4.65392457959779,4.65392457959779,0,NaN,NaN,NaN,0,60,
,B12,FAM,ORF1ab_covid,Unkn,,,1.63942852365741,1.63942852365741,0,NaN,NaN,NaN,0,60,
,C01,FAM,ORF1ab_covid,Unkn,,,1.15237128508348,1.15237128508348,0,NaN,NaN,NaN,0,60,
,C02,FAM,ORF1ab_covid,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,C03,FAM,ORF1ab_covid,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,C04,FAM,ORF1ab_covid,Unkn,,,4.62848219593372,4.62848219593372,0,NaN,NaN,NaN,0,60,
,C05,FAM,ORF1ab_covid,Unkn,,,2.46012648867816,2.46012648867816,0,NaN,NaN,NaN,0,60,
,C06,FAM,ORF1ab_covid,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,C07,FAM,ORF1ab_covid,Unkn,,,2.77057949865677,2.77057949865677,0,NaN,NaN,NaN,0,60,
,C08,FAM,ORF1ab_covid,Unkn,,,2.77898019193596,2.77898019193596,0,NaN,NaN,NaN,0,60,
,C09,FAM,ORF1ab_covid,Unkn,,,1.27455227085284,1.27455227085284,0,NaN,NaN,NaN,0,60,
,C10,FAM,ORF1ab_covid,Unkn,,,4.38091399728206,4.38091399728206,0,NaN,NaN,NaN,0,60,
,C11,FAM,ORF1ab_covid,Unkn,,,3.23122761631381,3.23122761631381,0,NaN,NaN,NaN,0,60,
,C12,FAM,ORF1ab_covid,Unkn,,,4.87100795627009,4.87100795627009,0,NaN,NaN,NaN,0,60,
,D01,FAM,ORF1ab_covid,Unkn,,,4.13042034679734,4.13042034679734,0,NaN,NaN,NaN,0,60,
,D02,FAM,ORF1ab_covid,Unkn,,,2.65189357422454,2.65189357422454,0,NaN,NaN,NaN,0,60,
,D03,FAM,ORF1ab_covid,Unkn,,,2.49746379766389,2.49746379766389,0,NaN,NaN,NaN,0,60,
,D04,FAM,ORF1ab_covid,Unkn,,,4.38404504973901,4.38404504973901,0,NaN,NaN,NaN,0,60,
,D05,FAM,ORF1ab_covid,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,D06,FAM,ORF1ab_covid,Unkn,,,4.41849699498368,4.41849699498368,0,NaN,NaN,NaN,0,60,
,D07,FAM,ORF1ab_covid,Unkn,,,4.17939406025018,4.17939406025018,0,NaN,NaN,NaN,0,60,
,D08,FAM,ORF1ab_covid,Unkn,,,1.08633166412338,1.08633166412338,0,NaN,NaN,NaN,0,60,
,D09,FAM,ORF1ab_covid,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,D10,FAM,ORF1ab_covid,Unkn,,,2.97128880457828,2.97128880457828,0,NaN,NaN,NaN,0,60,
,D11,FAM,ORF1ab_covid,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,D12,FAM,ORF1ab_covid,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,E01,FAM,ORF1ab_covid,Unkn,,,4.02739068843865,4.02739068843865,0,NaN,NaN,NaN,0,60,
,E02,FAM,ORF1ab_covid,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,E03,FAM,ORF1ab_covid,Unkn,,,1.31881490572596,1.31881490572596,0,NaN,NaN,NaN,0,60,
,E04,FAM,ORF1ab_covid,Unkn,,,1.3609192968753,1.3609192968753,0,NaN,NaN,NaN,0,60,
,E05,FAM,ORF1ab_covid,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,E06,FAM,ORF1ab_covid,Unkn,,,3.17034514438076,3.17034514438076,0,NaN,NaN,NaN,0,60,
,E07,FAM,ORF1ab_covid,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,E08,FAM,ORF1ab_covid,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,E09,FAM,ORF1ab_covid,Unkn,,,3.14243058331937,3.14243058331937,0,NaN,NaN,NaN,0,60,
,E10,FAM,ORF1ab_covid,Unkn,,,1.27445990053636,1.27445990053636,0,NaN,NaN,NaN,0,60,
