,Well,Fluor,Target,Content,Sample,End RFU,Call,Sample Type,CallType,Is Control
,A01,ROX,N_covid,Neg Ctrl,,146.31394575132,,ControlNegative,Negative,True
,A02,ROX,N_covid,Unkn,,23.7346905495975,,Unknown,NoCall,False
,A03,ROX,N_covid,Unkn,,53.8800178824929,,Unknown,NoCall,False
,A04,ROX,N_covid,Unkn,,64.3206086199332,,Unknown,NoCall,False
,A05,ROX,N_covid,Unkn,,17.1162476638068,,Unknown,NoCall,False
,A06,ROX,N_covid,Unkn,,17.9759764184184,,Unknown,NoCall,False
,A07,ROX,N_covid,Unkn,,310.38416333771,(+) Positive,Unknown,Positive,False
,A08,ROX,N_covid,Unkn,,161.396168513045,,Unknown,NoCall,False
,A09,ROX,N_covid,Unkn,,11.3046222668008,,Unknown,NoCall,False
,A10,ROX,N_covid,Pos Ctrl,,62.2135490134888,,ControlPositive,NoCall,False
,A11,ROX,N_covid,Unkn,,129.626793896506,,Unknown,NoCall,False
,A12,ROX,N_covid,Unkn,,135.19187998967,,Unknown,NoCall,False
,B01,ROX,N_covid,Unkn,,58.1381837571413,,Unknown,NoCall,False
,B02,ROX,N_covid,Unkn,,20.9690186067388,,Unknown,NoCall,False
,B03,ROX,N_covid,Unkn,,141.365475340704,,Unknown,NoCall,False
,B04,ROX,N_covid,Unkn,,63.8754917009766,,Unknown,NoCall,False
,B05,ROX,N_covid,Unkn,,27.4756709602443,,Unknown,NoCall,False
,B06,ROX,N_covid,Unkn,,165.064979761943,,Unknown,NoCall,False
,B07,ROX,N_covid,Unkn,,20.1545292665565,,Unknown,NoCall,False
,B08,ROX,N_covid,Unkn,,160.751239069443,,Unknown,NoCall,False
,B09,ROX,N_covid,Unkn,,144.807186640101,,Unknown,NoCall,False
,B10,ROX,N_covid,Unkn,,73.753854407859,,Unknown,NoCall,False
,B11,ROX,N_covid,Unkn,,330.832935954286,(+) Positive,Unknown,Positive,False
,B12,ROX,N_covid,Unkn,,167.98998862668,(+) Positive,Unknown,Positive,False
,C01,ROX,N_covid,Unkn,,19.0822987198353,,Unknown,NoCall,False
,C02,ROX,N_covid,Unkn,,355.781541333829,(+) Positive,Unknown,Positive,False
,C03,ROX,N_covid,Unkn,,145.999192153864,,Unknown,NoCall,False
,C04,ROX,N_covid,Unkn,,60.5907908893938,,Unknown,NoCall,False
