,Cycle,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
,1,36.2867292305227,119.888336594494,160.237945424004,36.3986367169582,76.5125539416858,136.822454253171,60.660530536743,139.270637572124,28.8853001660809,130.310392260139,12.5967275123667,136.589521665012,13.9736278715991,73.8348966918056,27.2621664037497,120.16664120693,67.3902925657922,61.2471157195641,37.303762077011,62.5607529030249,62.8949430958246,30.3223304431031,69.0784317488315,31.0313818305794,153.180223360723,125.646875269736,63.7254627684588,34.9362386016192,30.3879011925646,35.740373435865,137.286991179143,71.211567362242,133.845021802178,155.472447964637,160.107282476478,33.7049778064393,121.900398938044,132.617703355148,28.4891786089438,38.2681004124306,30.2097791080414,38.2643267964822,13.2351843666193,36.44634794586,158.385997895738,30.0352509041668,149.770219582537,78.9664739436075,31.3529800702563,30.8931411730919,35.7271745848939,76.9395276102714,158.14580659536,155.885469367662,144.069207316261,71.8884328754239,11.4142130541286,74.2145351240224,31.020756277223,11.7914871676021,12.6313915439832,31.9518099605775,30.2896565462434,13.8249301170881,28.3342229475793,64.9596896290823,10.2918015590185,11.8840431074559,32.0794633427058,12.4878588355587,12.3096808820292,148.500784284285,77.604739129657,38.0831663478857,125.962679064746,11.8100809372972,121.342039517356,60.8567803237829,70.0619584273682,29.6154347832362,75.2245069742075,61.4430152047498,77.8904729564338,72.7203114522445,28.4490477699965,31.7538334279616,10.7437283599784,77.4446624585889,13.3925298415334,61.8274676059073,34.6289515907101,11.5515831181174,123.535759666235,36.8032781442525,140.211950738209,28.9106077432562
,2,51.5290587197887,172.191367759228,231.513227591267,51.6887254465455,109.230377629584,196.993723495472,86.4158677842879,200.593709381378,40.980281234657,187.44047187555,17.8329709157915,196.651548389734,19.7862635376769,105.369206154727,38.670568042071,172.597787635061,96.0895036454112,87.2589321502264,52.9788644018081,89.14580292763,89.6258271888128,43.0258463212813,98.5188065958455,44.0381281942,221.082598229171,180.611203771181,90.8189169426778,49.6034532703752,43.11972307213,50.7500483520435,197.678974503824,101.590664508514,192.624988503336,224.468517355263,231.320990947939,47.8475355395049,175.132134895631,190.822933965628,40.4154968140192,54.3566181811229,42.8662475695801,54.3518675240884,18.7393667966671,51.7570755452416,228.776152003198,42.6167449201257,216.051091034955,112.772033374723,44.4953704877653,43.8414437993533,50.7322301350978,109.847074925545,228.419386877619,225.078074557746,207.649922484286,102.564696096858,16.1576449967115,105.916357150067,44.0204477845282,16.6933083347158,17.8825299992523,45.3480515774354,42.9809293254466,19.5754757501263,40.195522197253,92.5933654704322,14.567443152443,16.8262466504248,45.5292503198816,17.6806251970347,17.4275754779555,214.180008612724,110.806086448167,54.093760320171,181.072940991321,16.7200631539918,174.315269818225,86.6980726816328,99.9342456679506,42.0198582780822,107.373254374847,87.5404734910326,111.219420594914,103.763091106276,40.36002584776,45.0666094098024,15.2072391064639,110.575306440096,18.9641525890747,88.0921644441933,49.1636793669059,16.3524695679935,177.522382826168,52.2667956744062,201.975454522102,41.0158245699358
,3,73.2129441295865,245.751455677787,331.163255123377,73.440420501679,155.526858321682,281.413661647925,122.939353673922,286.595815494382,58.2026005668495,267.669324387665,25.3062600386065,280.9216622323,28.0810259340287,150.007470083528,54.917681994365,246.33474838763,136.750273483016,124.141451854295,75.2769686383117,126.835611473927,127.521443175015,61.1139064477347,140.219037069643,62.5533571304677,316.115582112021,257.850012053676,129.224424811317,70.4717221687788,61.246730938029,72.1056856785735,282.398952459377,144.60645665479,275.127428615148,320.999655641877,330.886019733159,67.9727886219016,249.975200572781,272.534981492666,57.3988866428917,77.2389727384289,60.8854980565629,77.2324051198575,26.5931504347418,73.5376675642729,327.213792394779,60.5311782913996,308.86280140338,160.590459412296,63.2021837935854,62.2732493695512,72.0773139120847,156.407417098026,326.698007135301,321.878301312736,296.755664638393,145.999627388334,22.9273949000872,150.788865331848,62.5278172893522,23.6875650836628,25.3774457579502,64.4165219265069,61.0495335826399,27.781042050925,57.0871783067305,131.757776886919,20.6704101391006,23.8766705947064,64.675596662486,25.0899957731854,24.7304410158349,306.165845147393,157.779257507696,76.8641832129742,258.5133422382,23.7259813790433,248.802892303967,123.340743787119,142.240700568421,59.6817669725533,152.871642835928,124.542038962618,158.370127893806,147.711455035175,57.3209900158136,64.0173477653489,21.5771368077176,157.448815056261,26.9121307237192,125.330537750815,69.8466975753008,23.2044303350358,253.411609995548,74.2628581989875,288.584652483797,58.2533948789787
,4,104.000775831282,348.519678202739,469.228369710556,104.323726069817,220.760764635571,398.949846797289,174.558542666859,406.272072055197,82.6888601941382,379.5183455576,35.9633061003242,398.253840818631,39.9056933676156,212.937807087515,78.0251211903678,349.345096023545,194.142460439382,176.262572029474,106.931270844947,180.08369717438,181.056056450941,86.8215693871971,199.061302521978,88.8664410606152,447.979061436899,365.632380740342,183.471028214261,100.108787874729,87.0104755795064,102.427320052927,400.341129251098,205.283019015202,390.061623513936,454.876690995004,468.835555920511,96.5615313048129,354.495057992298,386.397240452826,81.5488228582126,109.715366192865,86.4989250545277,109.704800712681,37.7918664138333,104.461857871246,463.651638889379,85.9948421907438,437.734883733217,227.936667040024,89.7886759885623,88.4687616685133,102.389079950927,222.009086983742,462.924265192194,456.116948090604,420.631352130759,207.256584580968,32.5826467957868,214.045881448706,88.8308127647415,33.6641348807307,36.0637794717513,91.5116836317229,86.7313522028826,39.4801603339938,81.1051609367332,187.063838551316,29.377080410176,33.9315036017761,91.879264925954,35.6555364255137,35.1446685951751,433.924374454775,223.953981154517,109.182884951304,366.571407432658,33.7175464493321,352.836242606554,175.127712817882,201.92810808982,84.788685281791,216.997046041743,176.832695339729,224.790035466481,209.684142678788,81.4365514807168,90.9446789593103,30.665710539427,223.485317195661,38.243972296169,177.950466735252,99.2212112573907,32.9764154821569,359.354004900712,105.491147370721,409.084132120786,82.7616418750222
,5,147.591059967759,490.761691176248,658.141960471129,148.047458975467,312.136317922313,560.856432000333,247.170936974097,571.013301604352,117.425037110382,533.876450169148,51.1469721636959,559.89084972868,56.7441747903886,301.150584346904,110.815103559694,491.911617145621,274.731986320003,249.572979546708,151.736771264211,254.950640908971,256.31887765243,123.278529664867,281.649564646787,126.170492204,628.77672020469,514.57466609518,259.71902706736,142.085457906917,123.546202799427,145.364320137822,562.786894404981,290.393938933719,548.51958766262,638.311197695545,657.599924524336,137.065386522003,499.079802283942,543.432254800446,115.8099658423,155.672618372267,122.820385442707,155.658490379829,53.7431858429836,148.242409637597,650.436172270528,122.108311556493,614.601982727131,322.209052551749,127.479096149886,125.607521363033,145.311023806969,313.889335680562,649.433784057343,640.028445566237,590.92081202437,293.168403420848,46.3435181052237,302.707478989378,126.123277738589,47.877358575246,51.2887235980652,129.91902444828,123.147403489888,56.1396858637982,115.180147560908,264.774014901839,41.7838420256212,48.2563539248631,130.438471685,50.7076129476254,49.982884470629,609.328408294509,316.618219784752,154.919903464662,515.880353629567,47.9538448942712,496.770551807838,247.974595188695,285.680047201433,120.39940457991,306.852141824493,250.374467919664,317.792776736796,296.579178635197,115.649484987412,129.11343276103,43.6186463720433,315.961536196496,54.385322707245,251.947792958646,140.830548363354,46.9018644932048,505.841801637765,149.698693138309,574.914512840755,117.527283169671
