,Well,Fluor,Target,Content,Sample,Biological Set Name,Cq,Cq Mean,Cq Std. Dev,Starting Quantity (SQ),Log Starting Quantity,SQ Mean,SQ Std. Dev,Set Point,Well Note
,A01,Cy5,E_covid,Neg Ctrl,,,3.99693102529295,3.99693102529295,0,NaN,NaN,NaN,0,60,
,A02,Cy5,E_covid,Unkn,,,1.07810198259041,1.07810198259041,0,NaN,NaN,NaN,0,60,
,A03,Cy5,E_covid,Unkn,,,4.02517673238992,4.02517673238992,0,NaN,NaN,NaN,0,60,
,A04,Cy5,E_covid,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,A05,Cy5,E_covid,Unkn,,,4.20879811702966,4.20879811702966,0,NaN,NaN,NaN,0,60,
,A06,Cy5,E_covid,Unkn,,,3.23611362360533,3.23611362360533,0,NaN,NaN,NaN,0,60,
,A07,Cy5,E_covid,Unkn,,,4.00710624110107,4.00710624110107,0,NaN,NaN,NaN,0,60,
,A08,Cy5,E_covid,Unkn,,,1.45967416964806,1.45967416964806,0,NaN,NaN,NaN,0,60,
,A09,Cy5,E_covid,Unkn,,,4.7764450729474,4.7764450729474,0,NaN,NaN,NaN,0,60,
,A10,Cy5,E_covid,Pos Ctrl,,,NaN,0,0,NaN,NaN,0,0,60,
,A11,Cy5,E_covid,Unkn,,,4.24104808346839,4.24104808346839,0,NaN,NaN,NaN,0,60,
,A12,Cy5,E_covid,Unkn,,,4.38483314526487,4.38483314526487,0,NaN,NaN,NaN,0,60,
,B01,Cy5,E_covid,Unkn,,,4.03166114744022,4.03166114744022,0,NaN,NaN,NaN,0,60,
,B02,Cy5,E_covid,Unkn,,,4.70925225848689,4.70925225848689,0,NaN,NaN,NaN,0,60,
,B03,Cy5,E_covid,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,B04,Cy5,E_covid,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,B05,Cy5,E_covid,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,B06,Cy5,E_covid,Unkn,,,1.35535924614862,1.35535924614862,0,NaN,NaN,NaN,0,60,
,B07,Cy5,E_covid,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,B08,Cy5,E_covid,Unkn,,,4.47624933513496,4.47624933513496,0,NaN,NaN,NaN,0,60,
,B09,Cy5,E_covid,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,B10,Cy5,E_covid,Unkn,,,4.80644873237301,4.80644873237301,0,NaN,NaN,NaN,0,60,
,B11,Cy5,E_covid,Unkn,,,1.27291551690528,1.27291551690528,0,NaN,NaN,NaN,0,60,
,B12,Cy5,E_covid,Unkn,,,4.4667480013282,4.4667480013282,0,NaN,NaN,NaN,0,60,
