,Well,Fluor,Target,Content,Sample,Cq,SQ
,A01,Cy5,E_covid,Neg Ctrl,,4.59912858316562,NaN
,A02,Cy5,E_covid,Unkn,,1.1867072147497,NaN
,A03,Cy5,E_covid,Unkn,,1.46066467307913,NaN
,A04,Cy5,E_covid,Unkn,,NaN,NaN
,A05,Cy5,E_covid,Unkn,,1.73286366367505,NaN
,A06,Cy5,E_covid,Unkn,,2.98802807315939,NaN
,A07,Cy5,E_covid,Unkn,,3.26670274984158,NaN
,A08,Cy5,E_covid,Unkn,,1.04421377181875,NaN
,A09,Cy5,E_covid,Unkn,,1.0836724510696,NaN
,A10,Cy5,E_covid,Pos Ctrl,,NaN,NaN
,A11,Cy5,E_covid,Unkn,,NaN,NaN
,A12,Cy5,E_covid,Unkn,,NaN,NaN
,B01,Cy5,E_covid,Unkn,,3.61582191672446,NaN
,B02,Cy5,E_covid,Unkn,,NaN,NaN
,B03,Cy5,E_covid,Unkn,,1.71460517775223,NaN
,B04,Cy5,E_covid,Unkn,,2.54957738695641,NaN
,B05,Cy5,E_covid,Unkn,,4.66304126215025,NaN
,B06,Cy5,E_covid,Unkn,,NaN,NaN
,B07,Cy5,E_covid,Unkn,,1.12425515807008,NaN
,B08,Cy5,E_covid,Unkn,,NaN,NaN
,B09,Cy5,E_covid,Unkn,,NaN,NaN
,B10,Cy5,E_covid,Unkn,,2.6744225390742,NaN
,B11,Cy5,E_covid,Unkn,,NaN,NaN
,B12,Cy5,E_covid,Unkn,,4.9802171495621,NaN
,C01,Cy5,E_covid,Unkn,,1.43888470345939,NaN
,C02,Cy5,E_covid,Unkn,,1.02971024512042,NaN
,C03,Cy5,E_covid,Unkn,,NaN,NaN
,C04,Cy5,E_covid,Unkn,,NaN,NaN
,C05,Cy5,E_covid,Unkn,,NaN,NaN
,C06,Cy5,E_covid,Unkn,,NaN,NaN
,C07,Cy5,E_covid,Unkn,,1.65027660944159,NaN
,C08,Cy5,E_covid,Unkn,,NaN,NaN
,C09,Cy5,E_covid,Unkn,,1.24274538348096,NaN
,C10,Cy5,E_covid,Unkn,,3.25422559948303,NaN
,C11,Cy5,E_covid,Unkn,,NaN,NaN
,C12,Cy5,E_covid,Unkn,,3.02975329471042,NaN
,D01,Cy5,E_covid,Unkn,,1.14234700030421,NaN
,D02,Cy5,E_covid,Unkn,,1.44856860788342,NaN
,D03,Cy5,E_covid,Unkn,,3.06236436415233,NaN
,D04,Cy5,E_covid,Unkn,,4.08229138622352,NaN
,D05,Cy5,E_covid,Unkn,,1.61626291662004,NaN
,D06,Cy5,E_covid,Unkn,,2.93143600523847,NaN
