,Cycle,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
,1,64.0951475861111,10.4738406260285,23.762651554146,28.3578055143962,7.61741007101955,7.94332604989995,134.784802954184,70.6467820959169,5.09109924409768,27.3842435330616,56.8756543093705,59.2885676363749,25.6241653399893,9.27781990304265,61.9646352580339,28.1198396576683,12.1274434141624,72.2620013134747,8.89213622099214,70.3751561595409,63.455717861807,32.4394699516824,143.429445398759,73.5228896367116,8.45104769103,154.051054822114,63.9761977655198,26.6754266783682,13.2806633292712,6.33844898251391,27.0406691478665,24.4022727926849,8.43136263708493,62.0872827222729,56.2475303781512,128.697870902286,140.917942662773,5.27671738830486,65.1699538570711,117.000500550735,27.320809127079,20.8220905167645,119.796673279435,3.47116909076613,72.0111786357875,77.0654462153425,140.440094832939,63.2299089298249,7.40263260898428,65.49833379129,6.63355995921665,3.59078259276248,11.0888016983326,26.6555444985997,25.5750550410658,61.5661504451491,21.7665105912092,34.2821557852176,28.4896776406576,7.59212645834305,25.6700926064914,61.22420539825,136.928469088086,124.871883413934,29.1257842200948,151.88305879587,140.507538098822,28.5771139737453,9.19124750216542,30.7471920615826,57.517526006488,7.31404434456726,22.0505776240234,8.70277365383572,118.215058668586,21.0058684540618,155.684303716705,5.88360975927571,8.22930662047838,78.78297123637,8.01733418302956,120.643433183411,55.9808528846197,28.0777720497035,7.64007587596825,77.5519574462896,28.5558444351673,8.30173167019711,137.335719422427,118.696809342529,155.413464911663,30.9536493353571,69.0785725627256,31.7066347073378,10.4366679723362,26.2585045521937
,2,91.4013839233903,14.8140597378015,33.6308224064578,40.1487427444717,10.6715140189453,11.2181231998511,194.108269026206,100.832401286138,7.0380475477732,38.8423856508534,80.9608213788442,84.4417346179052,36.2920022880562,13.0832918461683,88.303431219505,39.8789937049914,17.1484855921826,103.122714469437,12.5795787661918,100.427580352459,90.4562978330096,46.0508368711025,206.940684726312,104.953872982653,11.9050705960417,222.583370404489,91.2013530250797,37.8275881954251,18.8025927955196,8.86718528932852,38.3632228753231,34.5949236514971,11.9291008674227,88.5056420853725,80.1049968087427,185.228233888343,203.223223938727,7.34010952529297,92.9211309938946,168.156826935081,38.7356896478277,29.3676373874987,172.19900298014,4.61312368470863,102.79574186618,110.084777441694,202.594883675226,90.1343620364241,10.3679884325093,93.3798565944653,9.30148793472745,4.8458451107881,15.6822932498053,37.8085493911412,36.2517204936812,87.7054815652782,30.7310418845118,48.67657843503,40.4140974324591,10.5930220613272,36.3130263099047,87.2521868281428,197.307806324689,179.565087079042,41.1934045684939,219.338243632304,202.651200603637,40.5244802218222,12.9229695233917,43.62917266164,81.9080624277904,10.2649958092179,31.1106363364634,12.2644995061391,169.801138212542,29.6647418385382,224.901946240011,8.19343764155201,11.573818397319,112.554773912982,11.3166284022982,173.39714300916,79.6989196387012,39.8234902409622,10.7569813887112,110.76417231886,40.4186116938063,11.7335053091065,197.86736491069,170.515844553388,224.574004093871,43.8684006865942,98.5666427936631,44.9833246456019,14.7575606898808,37.2291822964744
,3,130.083155644983,21.0135281105313,47.7191006178009,56.9771215713326,15.0801467772071,15.9020115492694,277.317873626694,143.557030312768,9.88987281128811,55.1611708113651,115.142943950483,120.119329852907,51.508925637022,18.5371375413479,125.640762064665,56.6304097439252,24.3223563900283,146.808937727093,17.8461737515281,142.970588487372,128.719806296779,65.422058759209,295.859283746046,149.432903097549,16.8596156992826,318.394387431073,129.781484407624,53.7166490178633,26.6822462602522,12.5234179711642,54.4876517566445,49.121295142756,16.9245730338225,125.942736241399,113.945472946856,264.56890636036,290.491222853184,10.3432756403354,132.239192970727,240.057054443689,55.0023405636666,41.6139599598637,245.838859055446,6.37613221841457,146.359912100738,156.778585149947,289.62639672107,128.261580497367,14.6492760605788,132.888458417599,13.1488631197517,6.7418238339551,22.2448244416019,53.6926697246954,51.4705303778737,124.775380329696,43.5621677637728,69.1570849334312,57.3965356363351,14.9443836143864,51.5140792502352,124.147259343666,281.94983891573,256.39438180815,58.432573741914,313.690593890687,289.685247894458,57.5461539082644,18.2880070899691,61.970051984963,116.508840264597,14.515026731372,44.0873797944168,17.3711460482664,242.346740423905,42.0536262844416,321.688447246983,11.5488398796724,16.3786170104986,160.305883228355,16.0402195883316,247.53724243704,113.352603154623,56.5543796265865,15.230733669453,157.739389090373,57.3529015092572,16.6395992206189,282.734683926037,243.380045832992,321.254126288974,62.2792309283968,140.314767569341,63.8889281364163,20.9326995399333,52.8620399357669
,4,184.675251604219,29.8666723920505,67.8188445450423,80.9723640325647,21.4638418634077,22.6081458917679,393.12798943599,203.776063886038,14.1058632030545,78.3705207157282,163.507656701723,170.561065826088,73.1973722160865,26.3580271448709,178.386143451393,80.4594521063455,34.5711965217215,208.399174296581,25.3638997581083,202.950384459332,182.749866727529,92.9378547806245,419.294503095877,212.1142738213,23.9766908480897,451.133836861457,184.256128739865,76.3208365938326,37.9192310487415,17.8285125184429,77.4111961964381,69.7931302823117,24.0532986334792,178.806730218465,161.797159281289,375.089280303134,411.716040961725,14.7372886008588,187.738969794402,340.408552038075,78.1486690323736,59.1714310493262,348.600973050463,9.15062125052282,207.750960934143,222.51884197981,410.472710326777,182.098802105776,20.8515911284703,188.663236526051,18.7125678670582,9.65202733121441,31.6174910749723,76.283936617624,73.1328391993229,177.165793618681,61.9333271281894,98.2408199356887,81.5444575719202,21.2845702172954,73.2190135984201,176.264213653644,399.660195861181,363.54934702332,83.0556184994857,444.504496007064,410.568083015032,81.7612546124683,26.0158176927935,88.0391359001578,165.436612111953,20.6532067581065,62.6872644081868,24.7036908507744,343.68780938767,59.7879225757561,455.814331124496,16.4527826612457,23.2996715957206,227.52022726632,22.8050039309537,351.017030426678,160.962942030703,80.3504581345405,21.6620163005064,223.887423537806,81.5102032275681,23.653286277754,400.780462318335,345.146042838638,455.179113747105,88.4957742416682,199.183160779974,90.7672725090652,29.75270335597,75.1083475533178
,5,261.314789997897,42.5053518815757,96.4686702890176,115.147009236901,30.7483255884545,32.2082754013036,552.581881645477,288.168564984366,20.3982285277907,111.309424356436,231.64689314211,241.548702015077,104.068453304552,37.5888165982642,252.532404709921,114.288763291953,49.2088728831268,294.73207100313,36.0908578359622,287.032485888512,258.654244481378,131.919051676677,588.640762804436,299.926003595185,34.2190687647326,632.74505715001,260.780796831232,108.41345396148,53.925883020891,25.5654604326674,109.926393719089,99.1605651505115,34.2230632169913,253.076303617336,229.149753420343,527.443167269396,578.181516435121,21.215887353178,265.676175493271,479.123423982664,111.025233337697,84.3678499855005,490.61128654915,13.6091535839796,293.759250421144,314.496446312817,576.318815038755,257.73386012743,29.8769910067867,266.999908402947,26.7902694299582,14.1967766581829,44.9985094109752,108.347126444065,103.916816088339,250.860394607066,88.2445756378829,139.428372097029,115.809130497078,30.5765797462182,104.183754325876,249.521220590103,561.5515665746,511.509979824913,118.195706396882,623.658095075692,576.529680145644,116.142591525781,37.1762560303459,125.006091967655,234.315397152016,29.5535451268197,89.3613244637709,35.2458220017916,483.932957967886,85.1724967045611,639.386681075784,23.6702408450237,33.2902768439435,321.532294661569,32.4993126803747,494.047658740119,228.020921387229,114.124482180259,30.9262412474363,316.456968951884,115.93385343532,33.676823017634,563.177871366635,485.941936583622,638.376719648379,125.758471432749,281.727042207198,128.895071162632,42.348460737996,106.707420054533
