,Cycle,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
,1,6.32401610625038,4.04430669328849,58.9521719193599,42.9185449048355,113.67828675321,61.9657252214465,1.27822453674253,66.9418570565103,137.511982844318,124.030420626192,82.4282511576048,125.270784639129,44.026905307328,134.940378806973,18.8256097023432,10.8920612554075,54.8607993538935,64.984019624435,119.224175383219,42.9703260225169,4.94855499626647,57.731081009314,123.2001125399,130.495755077544,65.7477849887573,137.647444954637,45.3815893166557,116.579130184122,15.9693677603009,51.2408745712855,17.025503659991,154.702052424283,75.0217554060027,40.484626071403,40.2054925782704,8.29917031933473,18.4302360831562,138.063319028692,4.99141846822931,45.5978188433846,127.591431533087,38.3787465660562,7.87047154328502,41.4153422311892,81.580330041962,53.7396824247417,66.4086067564649,54.6207525419177,15.366401565394,43.1681846195206,6.29469920188785,146.081246690842,45.5146094841939,8.41707674976533,128.296380624523,16.0540769491035,58.9475976583235,42.3322689737597,151.840734119058,71.0246358221502,17.2783623981486,14.8810393169624,2.85276444390911,2.9904532593564,79.0717414250057,38.1619132706828,116.407303107361,142.691031057114,68.3571752302478,35.2131485701457,48.8500919047101,126.22292888807,9.06094811076946,153.262477325757,8.53149205836871,67.0322873980385,14.7396874742135,40.7060585631134,39.1944076637647,70.09501333141,23.8336391218454,79.3282605141612,5.68331720559672,38.6727130305644,119.766702358825,73.0257898158079,45.7902074195499,38.4753759039677,12.236639508511,62.6734194391311,32.7719402128769,23.0165065202355,147.604141050497,147.121098955708,21.2192712372635,5.24977508660777
,2,8.90670475630122,5.58452920290802,83.9795245757023,61.0156020567538,163.265039899702,88.3204420900629,1.60788047145525,95.5018227343626,198.130216748184,178.330838080394,117.804658725396,180.23345899609,62.606835475327,194.295012521992,26.5882279355492,15.4028302598663,78.1246883345248,92.6859233404002,171.368526359745,61.0855994810627,6.88816529088035,82.2490674319888,177.184254185627,187.819729373974,93.7209644156055,198.304839471482,64.4616567045241,167.423213929597,22.6051905138038,72.9367079313215,24.114555804008,223.46193355626,107.132456902396,57.5287639878734,57.1310753230791,11.7251320225723,26.0939831403684,198.928662040089,6.93455708619967,64.8517217630442,183.561611565376,54.4346028136006,11.0909064227053,58.8729903291023,116.616654606584,76.5243642173209,94.6945218765723,77.7769428122019,21.7492962297883,61.3759919344493,8.88349710969214,210.75010829337,64.7205354243506,11.8235576112411,184.695831416035,22.6854321101682,83.9544883372491,60.1836998580129,219.410523964098,101.36825598201,24.4143912412219,21.0531180057887,3.8848035325409,4.10131702160652,112.985660508922,54.2111416269918,167.232094725449,205.795444917345,97.512982482589,50.0072214552993,69.5119780136947,181.58859948718,12.7943861504164,221.463158621152,12.0276465831384,95.6137595730988,20.8414642528178,57.849384161188,55.6873499832,100.026394072295,33.7957591576569,113.344573821645,7.9949738051273,54.94587919888,172.168570555224,104.261964267801,65.0292156855921,54.6691923443104,17.324419011592,89.3363809075463,46.4617795813883,32.6201348957111,212.967694744476,212.342323407227,30.0222994309415,7.30022028508665
,3,12.6115479672108,7.84439885707252,119.469841539416,86.7307713012078,233.008890077474,125.673923341951,2.168049371302,135.943065099214,283.114463901229,254.618259306744,167.807452868406,257.39933754756,89.0024975785473,277.56377627089,37.6947970174642,21.8480910117532,111.127451610128,131.921935270633,244.649427251786,86.8303593435658,9.70803373758099,117.013959095119,253.0076223946,268.273740612977,133.363614876358,283.353482063849,91.5994882775585,238.938420159676,32.0771643700709,103.728769275467,34.2248593828417,319.618983167719,152.556830783978,81.7602921584967,81.1951610659708,16.6241793854915,37.0310757176594,284.257951993508,9.76601521754401,92.1988356208567,262.148864255573,77.3056942106487,15.7079060304432,83.6828160840996,166.127328255688,108.847369169477,134.767456758559,110.628989255593,30.8617877340475,87.2466573696402,12.5906367640127,301.29479193643,92.0058358653105,16.7268286896233,263.834123438168,32.1671966744789,119.423865324196,85.5499444506531,313.865538939111,144.315650797125,34.6185765248747,29.8662343725691,5.42643903090175,5.74498644380856,160.930676842843,77.0352574347708,238.694983920513,294.178638232504,138.80134338577,71.0532011231962,98.8455178056338,259.326450039393,18.1363786712491,316.802544047693,17.0394500654256,136.09065573192,29.5599706616904,82.2181373123585,79.138208309927,142.396482201599,47.9894530315723,161.43653137226,11.315784286061,78.0859266658763,245.803078420745,148.457689772326,92.3989994956019,77.6930842646916,24.5851886765649,127.123266677382,65.9713109076683,46.3105005259622,304.476913158616,303.621621361061,42.5932497149033,10.2837656952333
,4,17.9362372630312,11.1900658518362,169.633088463236,123.182640333286,330.450982724199,178.4282660295,3.14040444475449,192.981106649891,401.316992096644,361.037247662937,238.154815016492,364.945339315917,126.403818315807,393.488051475394,53.5881181152135,31.0530015947943,157.794598508623,187.279686790719,346.917659000726,123.324960244963,13.8312544118853,166.143786143248,358.738607969631,380.339652915269,189.345172174103,401.661370535416,130.115150275537,338.861434980265,45.5867889317406,147.299196926143,48.6353549043179,452.887082408197,216.535313432838,116.130354877505,115.328809761673,23.6325890721919,52.6251627911533,402.935576294806,13.9190963463871,130.94253383664,371.680662470417,109.834349033645,22.3381432205269,118.855025526191,235.763960220825,154.559429825155,191.328330928329,157.089658524443,43.859730363999,123.913954882848,17.9004051149204,427.004062200528,130.671950957922,23.7974775383354,374.033349934282,45.7261653738706,169.574444924158,121.504957673245,444.710473590077,204.85610055401,49.2118709855349,42.4483070211281,7.75717674871157,8.20322062107698,228.401009290897,109.424727696111,338.50059448815,416.938214239965,197.042461179421,100.932017740087,140.370861372237,367.680748080209,25.7833986514743,448.873219861073,24.2303577229104,193.197161448545,42.0155622824886,116.780083590994,112.408644850807,202.136168008949,68.1835130708714,229.121650122966,16.0962305354024,110.913168076617,348.54721328277,210.723389781983,131.255351816943,110.354658025421,34.9384423379015,180.483784732158,93.7356671392363,65.8037444937354,431.50739172073,430.273102527733,60.5367058880483,14.6534237180376
,5,25.6031278257333,16.193957855784,240.205398212266,174.676317947897,465.329572738739,252.561898219064,4.86522323727058,272.987248418108,563.914720550329,508.02420659052,336.477348402037,513.296726968168,179.212649169143,553.159398533024,76.3368733040397,44.1984554428273,223.49253530385,264.96648936201,488.254307591828,174.881591006912,19.9035198719475,235.244529320375,504.699702016712,534.818128950245,267.992289891675,564.437337646696,184.611206083854,477.191129115009,64.8371086149691,208.692219462938,69.1477930403325,635.319242775701,306.103668973798,164.727764487511,163.590207402949,33.6586980915781,74.8371982528124,566.18254753054,20.0542668163716,185.62407424184,522.789144033077,155.995006496039,31.8739933250417,168.549574034228,333.054152414787,218.918647249574,270.737011505857,222.504763595774,62.3853846940374,175.7011991212,25.5139868941515,599.496509166472,185.264818442,34.027645473795,525.871274754608,65.1170010296883,240.156627169275,172.292895577047,623.69977426527,289.703391881885,70.0810343638805,60.399516572169,11.3354586317664,11.9292408623696,322.74064458487,155.249200368463,476.57706795974,585.481133817167,278.745634961763,143.228920085973,198.920199886305,517.174645134761,36.737218582316,629.53686998653,34.5596779476455,273.327811766277,59.8073000246814,165.637895086135,159.464945748799,285.887218351763,96.8608254388428,323.775091460766,22.9941861767957,157.342446373512,490.50885380137,297.927032407031,186.252596239634,156.545119864324,49.6867865353106,255.458002168361,133.172843571518,93.5124957996704,605.779509180727,603.912637219052,86.1288651486566,21.1033524476816
