,Cycle,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
,1,69.6140792824708,35.3868444789823,91.3648751140363,145.036076113094,84.5534872901972,23.810381310931,52.8524865233294,62.0356590197471,162.632388731572,72.6044255884808,145.685899602747,136.216390730055,86.8991867025625,81.3544131462359,30.0895414390498,77.0079330534127,46.9598518280918,136.191186623377,30.9994516752613,45.4884435582062,32.249314675485,18.4578151464129,82.8523976509032,30.1187277214658,98.1401773361758,86.9846067983272,27.7919678455673,72.2207863596614,21.8261946920029,48.7867561876656,33.0369501101413,69.5372852774735,34.2939779651151,70.6730652049046,72.1106903049485,74.9380225853502,140.929858786344,73.9294962918511,13.1304531965307,138.033784093237,80.4667347881514,139.282775412277,120.71115739687,176.875853205522,32.0165254033,68.8011596344968,151.226895044823,18.4538461598177,71.0520470842139,32.3044836541194,15.7226431653562,162.282338212945,36.5644513837397,21.8956472628051,85.5472941695753,145.646377360205,133.730291432143,21.2451172207057,12.2447823779394,158.4664750075,142.379531512733,16.1674393482426,52.0822327275546,28.08810180823,148.095346534676,76.9869582736219,154.610542317625,81.5999832249436,26.2302255850746,80.1598138472991,41.8507009618215,38.1618153504551,151.883439008264,92.0429027099362,29.0753207162552,153.465101114065,12.1588746872476,142.888037876879,45.6055413016775,19.6949951278302,74.4698839155444,41.2019308652116,31.097159290458,80.7760300975751,93.7114838726357,27.4142428926834,147.291778453719,33.8000805524607,19.3850972922783,16.1174007214804,70.3140498829871,17.3986385344824,71.1679040134159,96.140900710815,26.721211655461,83.3731036705094
,2,99.2177306722824,50.2323689183595,130.638005017024,208.717743439517,120.762630441156,33.8454932874483,75.4458205919573,88.3685921735996,234.464331628597,103.532193924379,209.902974592121,195.840640827235,124.088717026017,116.092256259382,43.1514406139668,109.876075212611,67.045596692954,196.045350745716,43.978742874132,64.8026392577804,46.1600769235156,26.2017345165259,118.305957794896,43.1503777498501,140.456759589845,124.206569453018,39.4089794142938,103.025191601743,30.9941259622656,69.6293112301482,46.8765964862851,99.0876017996825,48.6651202584599,100.75692841642,102.789534973684,106.930856208662,202.63391069967,105.401718630376,18.587936770853,198.783566470356,114.815810488584,200.296159035879,173.269948611167,255.501753221409,45.4243258362003,98.1057498310493,218.092488590735,26.1894918954968,101.284206476951,46.3015782058428,22.2646103537245,234.127193639621,51.900734204728,31.1027898924576,122.230108232046,209.966484737667,192.336003691915,30.1563135070801,17.3319705777976,228.342768848876,205.034912110592,22.8985269696959,74.3170947290319,39.8110627810029,213.108015841286,109.960892122216,222.700323397072,116.653201314051,37.4965053567939,114.423008650636,59.4545759673283,54.1785388053968,218.96572591351,131.606927780326,41.5164798474079,220.985287174311,17.1617379324898,205.758393169996,64.8133681901472,27.9873109696564,106.175511617633,58.5321542702459,44.5164787808653,115.26198690661,134.012611721929,39.1286754755656,212.364374772298,47.9676690338338,27.515091938516,22.804674179728,100.185474198541,24.6472772186653,101.459042806226,137.485773222402,38.1783397914814,119.040699302993
,3,141.176492997028,71.3614927412527,186.119986973649,298.103216321926,171.977889215344,48.1067471429333,107.413529245322,125.713205863103,335.109571541939,147.345768197644,299.933535187542,279.610539403295,176.698110008178,165.267150918941,61.5475337711732,156.410162897606,95.4616950406098,280.036171228177,62.4605110797665,92.1900127675644,65.7887321834969,37.2234758839804,168.462949110855,61.5216527796956,200.183176409343,176.865959489505,55.9606435889127,146.64637916938,44.0353059067638,99.1256141620543,66.5816092464847,140.982058102712,69.124530052989,143.385345253001,146.266474689904,152.221851618897,289.322190128141,149.994069919064,26.3768647793131,283.993808951897,163.444420243542,285.997920309989,247.2331534641,365.449422714405,64.5172733908003,139.621571649356,311.74799328356,37.2025395071705,144.127059291944,66.0238888072618,31.597939630431,334.718283551495,73.7291278862085,44.1968823911111,174.09114418486,300.089895042526,274.645995586694,42.8373232078993,24.5927081083655,326.297421858873,292.92203170839,32.4988909663853,105.791384988941,56.5216219453841,304.371350682072,156.594627282569,318.187417960087,166.182569490148,53.413500563719,162.911657729081,84.4890072321768,76.9699511209747,312.956087416513,187.499743432028,59.1161984355076,315.702544330225,24.3242362401934,293.950583142173,92.1178789509031,39.7738860987847,151.098666088134,83.1773968966754,63.4501492426916,164.082387797315,190.939145763424,55.7064571312558,303.530748469036,68.1369612886565,39.0855407522986,32.3543907394451,142.53667191467,34.9855053473739,144.379335673665,195.889445443263,54.3739625380995,169.503969335475
,4,200.439509352806,101.373996791318,264.125863730134,422.639167358487,244.095169301079,68.327194033016,152.46591221096,178.498714034496,474.976311623478,209.183022531808,425.157320595965,396.477096937801,250.803565280422,234.601421439976,87.3005487904484,222.033570403306,135.49640809925,397.00765168729,88.7391209820225,130.895236602559,93.3445547781039,52.8781906614804,239.116130681298,87.2779850810975,284.041326493199,251.042808340677,79.5091739143645,208.178964182574,62.5534586528784,140.706035219497,94.5903679825387,200.168272378975,98.2022725144043,203.566685542196,207.662820984097,216.08518025363,410.24264932623,212.949823382112,37.4843929185754,402.59166737934,232.016928662228,405.521187278969,350.651175527183,517.823928045801,91.6593747566621,198.217589535416,441.840875206203,52.8506442508824,204.623066942886,93.6597024257208,44.9033057240977,474.368091246253,104.738611902924,62.7800242098392,247.080368153077,425.343145743434,389.41570066376,60.8553263073873,34.9514666872965,462.522632497671,415.250823312224,46.1825284660663,150.172348455389,80.3107667931954,431.529590153532,222.257970506097,451.052890477762,235.834928324321,75.8014938765464,231.246852181738,120.011186844737,109.340898975513,443.575381582958,266.082999497978,83.9065707914051,447.550429008452,34.5818190169621,416.711636733148,130.840093845182,56.4950123934686,214.516399797507,118.147382355232,90.0245468237272,232.922171514162,270.958450791622,79.0717255852642,430.21260200139,96.7975230372831,55.5257383344106,45.9832455799169,202.380191450578,49.7143352957864,204.979777516946,277.983427205455,77.1692441856712,240.596117436744
,5,283.728691065604,143.901397278723,373.055784053635,594.361147846945,345.025414914232,96.899204294381,215.602535356519,252.763982679439,667.155899863995,296.001222048298,597.427954890432,557.919577961355,354.557433371642,331.807366716173,123.067013333538,314.057648970587,191.583445017865,558.205234371188,126.017807237571,185.351383421792,131.756952902585,75.0599887151211,338.039684430549,123.116757749835,400.932560741026,354.899703072525,112.948188274851,294.501510760555,88.7743351269919,198.996449689182,134.312858455729,283.383033761136,139.431053151199,288.093292171281,293.925831425912,305.629246177563,577.252538679775,301.370719985678,53.3131615166321,565.896013905549,328.171210643267,570.554412954683,493.963533407973,726.397627283562,130.157251108063,280.490894998647,620.483178668287,75.0331658798796,289.617115174856,132.082958862758,63.8491926570441,665.990787439603,148.684731490748,89.0732170342635,349.157703683381,597.460021727901,547.849660106567,86.3904563523656,49.7130153604894,649.879463881088,583.701013189854,65.6618507753046,212.413439247036,114.123151367115,606.878990673617,314.157852714787,633.926975242188,333.149020756454,107.087459678873,326.992504326993,170.261328787711,155.196555024264,623.05823372092,375.823586986789,118.627697761678,629.125476109024,49.2865851559754,585.771449604056,185.576708855184,80.1373189187461,303.579390447822,167.620907427767,127.058854972404,329.440194848537,382.668692581499,111.824627299125,604.251249106986,137.428847282211,78.8253953002641,65.422028142385,286.533230608843,70.6705424420161,290.104334992209,392.587883869898,109.060018272904,340.150036778299
