,Well,Fluor,Target,Content,Sample,Biological Set Name,Cq,Cq Mean,Cq Std. Dev,Starting Quantity (SQ),Log Starting Quantity,SQ Mean,SQ Std. Dev,Set Point,Well Note
,E12,Cy5,E_covid,Unkn,,,1.12695943595931,1.12695943595931,0,NaN,NaN,NaN,0,60,
,F01,Cy5,E_covid,Unkn,,,1.39834405456709,1.39834405456709,0,NaN,NaN,NaN,0,60,
,F02,Cy5,E_covid,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,F03,Cy5,E_covid,Unkn,,,4.27579178299753,4.27579178299753,0,NaN,NaN,NaN,0,60,
,F04,Cy5,E_covid,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,F05,Cy5,E_covid,Unkn,,,1.29598205289959,1.29598205289959,0,NaN,NaN,NaN,0,60,
,F06,Cy5,E_covid,Unkn,,,3.16361187308704,3.16361187308704,0,NaN,NaN,NaN,0,60,
,F07,Cy5,E_covid,Unkn,,,1.18692067063709,1.18692067063709,0,NaN,NaN,NaN,0,60,
,F08,Cy5,E_covid,Unkn,,,3.01658752682204,3.01658752682204,0,NaN,NaN,NaN,0,60,
,F09,Cy5,E_covid,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,F10,Cy5,E_covid,Unkn,,,3.06477294996964,3.06477294996964,0,NaN,NaN,NaN,0,60,
,F11,Cy5,E_covid,Unkn,,,4.94182307125618,4.94182307125618,0,NaN,NaN,NaN,0,60,
,F12,Cy5,E_covid,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,G01,Cy5,E_covid,Unkn,,,1.23038109708594,1.23038109708594,0,NaN,NaN,NaN,0,60,
,G02,Cy5,E_covid,Unkn,,,2.639277189091,2.639277189091,0,NaN,NaN,NaN,0,60,
,G03,Cy5,E_covid,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,G04,Cy5,E_covid,Unkn,,,1.20546194487801,1.20546194487801,0,NaN,NaN,NaN,0,60,
,G05,Cy5,E_covid,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,G06,Cy5,E_covid,Unkn,,,1.38889380964459,1.38889380964459,0,NaN,NaN,NaN,0,60,
,G07,Cy5,E_covid,Unkn,,,4.66679015515806,4.66679015515806,0,NaN,NaN,NaN,0,60,
,G08,Cy5,E_covid,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,G09,Cy5,E_covid,Unkn,,,3.25606818191918,3.25606818191918,0,NaN,NaN,NaN,0,60,
,G10,Cy5,E_covid,Unkn,,,4.99428022226385,4.99428022226385,0,NaN,NaN,NaN,0,60,
,G11,Cy5,E_covid,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,G12,Cy5,E_covid,Unkn,,,3.04729157890158,3.04729157890158,0,NaN,NaN,NaN,0,60,
,H01,Cy5,E_covid,Unkn,,,2.58540922435762,2.58540922435762,0,NaN,NaN,NaN,0,60,
,H02,Cy5,E_covid,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,H03,Cy5,E_covid,Unkn,,,1.30805826939297,1.30805826939297,0,NaN,NaN,NaN,0,60,
,H04,Cy5,E_covid,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,H05,Cy5,E_covid,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,H06,Cy5,E_covid,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,H07,Cy5,E_covid,Unkn,,,3.41443514917228,3.41443514917228,0,NaN,NaN,NaN,0,60,
,H08,Cy5,E_covid,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,H09,Cy5,E_covid,Unkn,,,3.37885192728852,3.37885192728852,0,NaN,NaN,NaN,0,60,
,H10,Cy5,E_covid,Unkn,,,2.51113492530464,2.51113492530464,0,NaN,NaN,NaN,0,60,
,H11,Cy5,E_covid,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,H12,Cy5,E_covid,Unkn,,,2.95707691012587,2.95707691012587,0,NaN,NaN,NaN,0,60,
,A01,FAM,ORF1ab_covid,Neg Ctrl,,,NaN,0,0,NaN,NaN,0,0,60,
,A02,FAM,ORF1ab_covid,Unkn,,,1.6383240825797,1.6383240825797,0,NaN,NaN,NaN,0,60,
,A03,FAM,ORF1ab_covid,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,A04,FAM,ORF1ab_covid,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,A05,FAM,ORF1ab_covid,Unkn,,,2.9513518671581,2.9513518671581,0,NaN,NaN,NaN,0,60,
,A06,FAM,ORF1ab_covid,Unkn,,,1.27342229826397,1.27342229826397,0,NaN,NaN,NaN,0,60,
,A07,FAM,ORF1ab_covid,Unkn,,,3.58767423310525,3.58767423310525,0,NaN,NaN,NaN,0,60,
,A08,FAM,ORF1ab_covid,Unkn,,,1.2283640234184,1.2283640234184,0,NaN,NaN,NaN,0,60,
,A09,FAM,ORF1ab_covid,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,A10,FAM,ORF1ab_covid,Pos Ctrl,,,1.40196388440753,1.40196388440753,0,NaN,NaN,NaN,0,60,
,A11,FAM,ORF1ab_covid,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,A12,FAM,ORF1ab_covid,Unkn,,,1.27779780709566,1.27779780709566,0,NaN,NaN,NaN,0,60,
,B01,FAM,ORF1ab_covid,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,B02,FAM,ORF1ab_covid,Unkn,,,3.05191694579875,3.05191694579875,0,NaN,NaN,NaN,0,60,
,B03,FAM,ORF1ab_covid,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,B04,FAM,ORF1ab_covid,Unkn,,,1.63145633897807,1.63145633897807,0,NaN,NaN,NaN,0,60,
,B05,FAM,ORF1ab_covid,Unkn,,,3.28791980881313,3.28791980881313,0,NaN,NaN,NaN,0,60,
,B06,FAM,ORF1ab_covid,Unkn,,,3.55895132389038,3.55895132389038,0,NaN,NaN,NaN,0,60,
,B07,FAM,ORF1ab_covid,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,B08,FAM,ORF1ab_covid,Unkn,,,3.49652507047232,3.49652507047232,0,NaN,NaN,NaN,0,60,
,B09,FAM,ORF1ab_covid,Unkn,,,3.481056576819,3.481056576819,0,NaN,NaN,NaN,0,60,
,B10,FAM,ORF1ab_covid,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,B11,FAM,ORF1ab_covid,Unkn,,,3.22187425669043,3.22187425669043,0,NaN,NaN,NaN,0,60,
,B12,FAM,ORF1ab_covid,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,C01,FAM,ORF1ab_covid,Unkn,,,1.00139019612083,1.00139019612083,0,NaN,NaN,NaN,0,60,
,C02,FAM,ORF1ab_covid,Unkn,,,1.50264865345164,1.50264865345164,0,NaN,NaN,NaN,0,60,
,C03,FAM,ORF1ab_covid,Unkn,,,3.44334934648163,3.44334934648163,0,NaN,NaN,NaN,0,60,
,C04,FAM,ORF1ab_covid,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,C05,FAM,ORF1ab_covid,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,C06,FAM,ORF1ab_covid,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,C07,FAM,ORF1ab_covid,Unkn,,,1.2647309944064,1.2647309944064,0,NaN,NaN,NaN,0,60,
,C08,FAM,ORF1ab_covid,Unkn,,,3.1428585270303,3.1428585270303,0,NaN,NaN,NaN,0,60,
,C09,FAM,ORF1ab_covid,Unkn,,,1.33054797862449,1.33054797862449,0,NaN,NaN,NaN,0,60,
,C10,FAM,ORF1ab_covid,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,C11,FAM,ORF1ab_covid,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,C12,FAM,ORF1ab_covid,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,D01,FAM,ORF1ab_covid,Unkn,,,1.58938942111177,1.58938942111177,0,NaN,NaN,NaN,0,60,
,D02,FAM,ORF1ab_covid,Unkn,,,1.35489796032168,1.35489796032168,0,NaN,NaN,NaN,0,60,
,D03,FAM,ORF1ab_covid,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,D04,FAM,ORF1ab_covid,Unkn,,,4.94782113203711,4.94782113203711,0,NaN,NaN,NaN,0,60,
,D05,FAM,ORF1ab_covid,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,D06,FAM,ORF1ab_covid,Unkn,,,4.94812452670862,4.94812452670862,0,NaN,NaN,NaN,0,60,
,D07,FAM,ORF1ab_covid,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,D08,FAM,ORF1ab_covid,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,D09,FAM,ORF1ab_covid,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,D10,FAM,ORF1ab_covid,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,D11,FAM,ORF1ab_covid,Unkn,,,1.05287198734011,1.05287198734011,0,NaN,NaN,NaN,0,60,
,D12,FAM,ORF1ab_covid,Unkn,,,2.84700796241836,2.84700796241836,0,NaN,NaN,NaN,0,60,
,E01,FAM,ORF1ab_covid,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,E02,FAM,ORF1ab_covid,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,E03,FAM,ORF1ab_covid,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,E04,FAM,ORF1ab_covid,Unkn,,,2.93271535446282,2.93271535446282,0,NaN,NaN,NaN,0,60,
,E05,FAM,ORF1ab_covid,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,E06,FAM,ORF1ab_covid,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,E07,FAM,ORF1ab_covid,Unkn,,,1.14478310975699,1.14478310975699,0,NaN,NaN,NaN,0,60,
,E08,FAM,ORF1ab_covid,Unkn,,,3.11876191577144,3.11876191577144,0,NaN,NaN,NaN,0,60,
,E09,FAM,ORF1ab_covid,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,E10,FAM,ORF1ab_covid,Unkn,,,3.03929612554631,3.03929612554631,0,NaN,NaN,NaN,0,60,
,E11,FAM,ORF1ab_covid,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,E12,FAM,ORF1ab_covid,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,F01,FAM,ORF1ab_covid,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,F02,FAM,ORF1ab_covid,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,F03,FAM,ORF1ab_covid,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
