,Cycle,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
,1,31.7907768875366,58.7362579320479,112.590393792176,59.9289521104856,134.24772436772,71.1750889638961,8.10655218366628,25.436156810908,9.56238789331201,6.36883747877164,10.1242994198274,123.242919313041,117.324676767722,72.7753443230731,28.208698177219,73.7372314577824,10.2696728034807,9.05055973181516,29.5004835500777,24.9700111275524,66.7195252896654,33.3480368992659,78.3460909321375,59.5543299812116,7.01526592339542,24.0549720805011,127.504823515901,8.75906167231278,9.82971091384115,137.979433941943,4.44732199696773,6.95352971522607,23.652810529532,111.73863441246,122.98970876934,28.4489473453732,4.03818750982009,151.010504330865,26.1613086780435,144.941838759282,78.4777508521884,138.429208984623,9.37271431530189,156.347112926432,65.6947402202322,12.0713106837284,152.518976767566,28.7724800656542,145.477907183034,118.556323451603,144.429570521038,126.871935934876,67.9552884109007,58.7320506168626,7.34508129409915,23.9526481277853,123.37431656938,66.5250207404833,76.0662737699577,9.76110101700669,64.6466234460977,32.9516506025493,58.1491631873459,32.6389788019787,141.86598523978,8.01596312817128,31.5754824124042,37.0364478623869,134.581717252889,31.4864856831909,149.136329108491,140.545618007373,114.879957314143,32.8184919592222,5.74262293362335,26.6926397317366,70.6302035543777,10.6736741057248,128.637535788141,78.0101409834024,27.7274436918296,28.8818048525263,117.874122022666,7.06053230563884,28.8747980824992,28.286237047203,33.6435904688205,57.7557946902971,74.8035955939513,33.1557575132019,25.9227067609227,153.700797316792,7.01670721017217,60.4627966789985,29.2496981265831,11.9149145836818
,2,45.1277432089455,83.6563209932547,161.657922071393,85.3974728015055,193.366094279204,101.550916038569,11.4281402463639,35.9634048399685,13.5348349901069,8.88042175678765,14.3275152567303,177.267890271081,168.486003907704,103.894635772588,40.0260163301191,105.26833897098,14.5146464667732,12.7812445971695,41.8642756169693,35.4007310789975,95.1747797093185,47.3502844079894,111.934637628136,84.8598872531229,9.74540800107297,33.9992000634902,183.472220980993,12.3904189918394,13.9109111935613,198.780970131147,6.139679970629,9.80524895741928,33.4366169717505,160.427574740488,176.885928076174,40.3502302284305,5.56936776177372,218.118760265222,37.1069077066331,209.067392617192,112.105375758945,199.455678176011,13.2450387489234,225.864346245324,93.6238477222214,17.0818774716481,220.396725570336,40.8071486828667,209.810109680405,170.324767272634,208.275310128654,182.541660501783,96.8777523264434,83.5996791205016,10.2348681115118,33.9459902564367,177.321977148961,94.8914707044341,108.627836884231,13.8185681611994,92.1613724633389,46.782485987872,82.8302437622015,46.3219344234776,204.491132395811,11.2859799758662,44.7991890826352,52.6095823800342,193.782176809802,44.6915609096413,215.175798691573,202.677423734712,165.003333827884,46.5960500360134,7.98739745212879,37.866245959869,100.777076851253,15.0899949231807,185.122160719963,111.434387224527,39.3213687702455,40.9623178354786,169.384610865923,9.95547472846101,40.9754344574794,40.1322265048193,47.7672410919795,82.2754639129571,106.783931104593,47.0592781403257,36.7411271234332,221.901996505433,9.8072655503438,86.1646423788843,41.4040680350145,16.8671448943915
,3,64.1082933316493,119.003022570025,230.689560322322,121.502279255666,276.27537987119,144.558536553182,16.1892919775792,51.0093940482402,19.2039569002754,12.524848346452,20.327358782838,253.13903403321,240.450155732863,147.928910731403,56.8514453788021,149.886098891446,20.5816342660228,18.1186944242918,59.4649365962168,50.2652709837621,135.470207159811,67.2717481691761,159.426323916803,120.73454238106,13.7236677374558,48.2147908321458,262.039152827579,17.5768612950415,19.7360406919406,284.031711748069,8.62387851350468,13.8916586685818,47.4210149864757,228.930603181803,252.583619299236,57.3016956993524,7.81791991231876,311.968459214985,52.6976473347559,298.869663142163,159.659889062988,285.009514871328,18.782220211413,323.067361630732,133.214808425188,24.2363426404072,315.280086761025,57.9493217597937,299.915092609202,243.112758897818,297.70917474183,260.698913486234,137.860930698185,118.895795738837,14.4314018624109,48.1917165014447,253.142821524421,135.063445491098,154.686789534736,19.6089253070913,131.149981743914,66.4636701706359,117.832407500526,65.7978309595183,292.25281484554,15.9813750515559,63.6274117048488,74.7580817461067,276.834247582333,63.4860492504704,307.632328643569,289.707901358095,235.496628726088,66.1998385496399,11.251778419376,53.7779215219452,143.458928044155,21.4017650374008,264.407174802622,158.701356253528,55.8380569619931,58.1714662521199,241.794043645666,14.1035450072823,58.2022190659363,57.0012744720752,67.8625023759523,117.047437244245,152.039268736682,66.8481411612247,52.1620498473103,317.324226922436,13.8469328100173,122.598869635251,58.7506106479586,23.9338719837324
,4,91.0714741464517,168.974541494325,327.175414596146,172.51200664681,391.639843044593,205.209524298787,23.0205612737645,72.5056331395917,27.2927085849105,17.8383722268936,28.8889222563585,358.918009775869,341.00923834373,209.976918625129,80.7672790904462,212.753626937787,29.2556905147494,25.7578254675564,84.4788185501702,71.4194799166253,192.313293115712,95.5623587344608,226.270720526524,171.422211709048,19.5584961919312,68.5383181498582,371.51590713462,24.981575767988,28.0490328234528,402.624494417446,12.3013188375407,19.7533142674774,67.4063862080884,324.683007180666,358.13619318624,81.4133629495927,11.1541425432042,442.051064415036,74.8694124582307,423.578474734166,226.607337668153,404.002934115508,26.6982465807369,457.765997478878,189.138702839585,34.4444566967013,446.712448061606,82.3335098426614,425.069573650192,344.764253230506,421.949081256363,369.620917520048,195.726683034611,168.838509339196,20.5581001988621,68.4774327556261,358.96526840484,191.738720134564,219.558216779182,27.8666185820339,186.197492647012,94.4163817275457,167.30992263497,93.4751682332953,414.244048402939,22.7299894257267,90.3972337209689,106.19059094273,392.453027271407,90.1899861098391,435.979745582568,410.608669258055,333.975320271886,94.0392836868405,16.0330152297856,76.4042665625393,203.647467955511,30.4198339691857,374.866327180001,225.247942678962,79.3342612473334,82.6481635279179,342.880982733815,20.0545047840906,82.6846808995824,80.9801675177614,96.4031929235189,166.193265251636,215.812840245184,94.9653352772984,74.1180142887497,449.671860064199,19.7153385076517,174.065733381746,83.4970076431628,34.0138715044341
,5,129.277510915472,239.300793017107,460.80411668571,244.227883188991,550.430795758881,290.26571017789,32.8377853456323,103.204858411002,38.8221208281575,25.6410332700416,41.0994417379088,504.910716037563,480.229626700576,296.889209071287,114.683819683877,300.814529340556,41.6595481947388,36.6975660553435,119.944075281937,101.468701616582,272.064305516964,135.629213709475,319.755960726218,242.695237292104,28.1845016688867,97.5817601189719,522.490522888168,35.5491837899508,39.9038229597536,565.794812817503,17.805853504593,28.171121394641,95.9603032149826,457.306287046275,503.844588986938,115.633189588553,16.1585090422132,620.14092249699,106.337722542193,594.758131177604,320.265331517512,567.682039596058,38.0182755272808,642.116840105162,267.742018595955,49.002025353042,626.495791863174,116.945179404115,596.908604358634,485.383922135286,592.570595759719,519.865174860086,277.006561820295,239.201970668978,29.5599236090911,97.3142841379367,505.231198235967,271.261422573419,310.371184217777,39.6332202435424,263.520580181565,134.009148343367,236.924854168969,132.710499054734,581.911281296358,32.4475913955357,128.364348600277,150.666266837185,551.695022491353,128.03295060122,612.063634507573,576.639799047693,470.268566208219,133.47214481656,23.0871280846568,108.505981033652,288.049350206026,43.3057658918406,527.164778082541,318.3519584545,112.692061515624,117.390199243459,482.655783767116,28.6035543294593,117.398828544891,114.993352582042,136.826685259715,235.331321581003,305.153529375687,134.8183494631,105.323343777605,631.023238710528,28.2871281363477,246.414397803807,118.755534710122,48.3772284010911
