,Well,Fluor,Target,Content,Sample,Biological Set Name,Cq,Cq Mean,Cq Std. Dev,Starting Quantity (SQ),Log Starting Quantity,SQ Mean,SQ Std. Dev,Set Point,Well Note
,A01,Cy5,E_covid,Neg Ctrl,,,4.59912858316562,4.59912858316562,0,NaN,NaN,NaN,0,60,
,A02,Cy5,E_covid,Unkn,,,1.1867072147497,1.1867072147497,0,NaN,NaN,NaN,0,60,
,A03,Cy5,E_covid,Unkn,,,1.46066467307913,1.46066467307913,0,NaN,NaN,NaN,0,60,
,A04,Cy5,E_covid,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,A05,Cy5,E_covid,Unkn,,,1.73286366367505,1.73286366367505,0,NaN,NaN,NaN,0,60,
,A06,Cy5,E_covid,Unkn,,,2.98802807315939,2.98802807315939,0,NaN,NaN,NaN,0,60,
,A07,Cy5,E_covid,Unkn,,,3.26670274984158,3.26670274984158,0,NaN,NaN,NaN,0,60,
,A08,Cy5,E_covid,Unkn,,,1.04421377181875,1.04421377181875,0,NaN,NaN,NaN,0,60,
,A09,Cy5,E_covid,Unkn,,,1.0836724510696,1.0836724510696,0,NaN,NaN,NaN,0,60,
,A10,Cy5,E_covid,Pos Ctrl,,,NaN,0,0,NaN,NaN,0,0,60,
,A11,Cy5,E_covid,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,A12,Cy5,E_covid,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,B01,Cy5,E_covid,Unkn,,,3.61582191672446,3.61582191672446,0,NaN,NaN,NaN,0,60,
,B02,Cy5,E_covid,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,B03,Cy5,E_covid,Unkn,,,1.71460517775223,1.71460517775223,0,NaN,NaN,NaN,0,60,
,B04,Cy5,E_covid,Unkn,,,2.54957738695641,2.54957738695641,0,NaN,NaN,NaN,0,60,
,B05,Cy5,E_covid,Unkn,,,4.66304126215025,4.66304126215025,0,NaN,NaN,NaN,0,60,
,B06,Cy5,E_covid,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,B07,Cy5,E_covid,Unkn,,,1.12425515807008,1.12425515807008,0,NaN,NaN,NaN,0,60,
,B08,Cy5,E_covid,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,B09,Cy5,E_covid,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,B10,Cy5,E_covid,Unkn,,,2.6744225390742,2.6744225390742,0,NaN,NaN,NaN,0,60,
