,Well,Fluor,Target,Content,Sample,Cq,SQ
,A01,Cy5,E_covid,Neg Ctrl,,3.99693102529295,NaN
,A02,Cy5,E_covid,Unkn,,1.07810198259041,NaN
,A03,Cy5,E_covid,Unkn,,4.02517673238992,NaN
,A04,Cy5,E_covid,Unkn,,NaN,NaN
,A05,Cy5,E_covid,Unkn,,4.20879811702966,NaN
,A06,Cy5,E_covid,Unkn,,3.23611362360533,NaN
,A07,Cy5,E_covid,Unkn,,4.00710624110107,NaN
,A08,Cy5,E_covid,Unkn,,1.45967416964806,NaN
,A09,Cy5,E_covid,Unkn,,4.7764450729474,NaN
,A10,Cy5,E_covid,Pos Ctrl,,NaN,NaN
,A11,Cy5,E_covid,Unkn,,4.24104808346839,NaN
,A12,Cy5,E_covid,Unkn,,4.38483314526487,NaN
,B01,Cy5,E_covid,Unkn,,4.03166114744022,NaN
,B02,Cy5,E_covid,Unkn,,4.70925225848689,NaN
,B03,Cy5,E_covid,Unkn,,NaN,NaN
,B04,Cy5,E_covid,Unkn,,NaN,NaN
,B05,Cy5,E_covid,Unkn,,NaN,NaN
,B06,Cy5,E_covid,Unkn,,1.35535924614862,NaN
,B07,Cy5,E_covid,Unkn,,NaN,NaN
,B08,Cy5,E_covid,Unkn,,4.47624933513496,NaN
,B09,Cy5,E_covid,Unkn,,NaN,NaN
,B10,Cy5,E_covid,Unkn,,4.80644873237301,NaN
,B11,Cy5,E_covid,Unkn,,1.27291551690528,NaN
,B12,Cy5,E_covid,Unkn,,4.4667480013282,NaN
,C01,Cy5,E_covid,Unkn,,4.25501401799375,NaN
,C02,Cy5,E_covid,Unkn,,3.21222299971268,NaN
,C03,Cy5,E_covid,Unkn,,4.97764228908041,NaN
,C04,Cy5,E_covid,Unkn,,NaN,NaN
,C05,Cy5,E_covid,Unkn,,NaN,NaN
,C06,Cy5,E_covid,Unkn,,NaN,NaN
,C07,Cy5,E_covid,Unkn,,3.27164604799842,NaN
,C08,Cy5,E_covid,Unkn,,1.67098998397415,NaN
