,Cycle,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
,1,64.5264503883909,213.84938376718,192.284293113235,27.9747881604699,174.697896410594,113.75866706642,102.219530320929,227.378462700594,223.394676896964,35.6032130852709,56.4049285994133,32.1076338193661,90.6005410214366,29.3916883548545,175.749302069473,130.765734094086,63.2203261666036,52.9156076866202,219.481163303046,34.6218832916893,51.6252150517948,125.438344422533,40.5818931386621,57.2986630798141,193.592984880865,228.859231227975,40.8387116916047,50.2782252776015,34.2589026133455,35.0055719732118,179.597543593198,50.1966818281126,208.866440522507,102.708489058414,33.0338279714206,111.924046259132,217.920611796048,193.086456331949,110.581567730756,77.383201652664,181.696031123265,115.823671383187,121.232179892887,130.141884209949,39.3812555698469,33.0560545026128,204.921193633255,200.538946997868,48.7609414724593,40.6297615695275,68.5535485464061,32.4830793847395,92.3560354329748,69.4624706651384,31.559730795515,112.769274270648,55.5103830766839,57.4159263007814,45.0656566753942,121.387727509469,200.061217715787,126.568222859231,183.451633526343,26.804652782349,236.267481470217,59.276262528675,100.305710645071,58.5921890127765,59.9549574705388,209.21724130945,108.539900317176,47.993946107661,42.5081489618533,68.8388541766226,29.0411699106562,62.1723034145716,106.742201553203,121.7306843769,27.0759094564382,137.04206030216,173.94877701042,30.5118993664182,107.178838102084,50.3039217900159,39.1697549467835,35.583768433421,58.500428557737,32.1511164965104,125.681318630488,230.301135930225,209.902716899299,30.6384117579664,34.6477356935093,51.0212500230427,104.552603260056,93.9510720484886
,2,91.9275096627052,310.88744695943,278.42677261363,39.6578634802154,252.842299931342,163.194405628352,146.373429602012,331.161229498392,325.84671772957,50.5343830359625,81.0476529661255,45.5523748826781,129.444080664174,41.6840545433133,254.419020609533,187.852003957663,89.9923569249022,76.0542394632857,319.967349642468,49.1424361280751,73.9890202983715,180.101145660588,57.7342949398644,81.5354294949066,281.028489210755,333.464865746925,58.063156751201,72.137090098141,48.7133077258941,49.7101995043995,260.13180534726,72.076585099564,304.030556176285,147.066491655399,46.8577382823769,160.598963481875,316.598339071254,279.763573845857,158.516807861645,110.928592625577,263.270076537132,166.05051549027,174.031504686587,187.045605486389,55.9711447217042,46.898436312481,297.98187030043,291.511046167347,70.0990949751858,57.8093097683741,97.6750663459334,46.0331626494099,132.012818363991,99.0101741896797,44.7730395115204,161.616926086921,79.8717890023072,81.71112104846,64.185811345842,174.431780290881,290.726210612911,181.86679699033,265.391050195591,37.9380999338346,344.166826291326,84.3817032120542,143.575168447767,83.3609381576698,85.3883118651411,304.196744975042,155.554597606954,68.662086057484,60.458825462536,98.1191564283226,41.1094957345194,88.5348950817652,152.842026702462,174.776985659264,38.3783478132773,197.127430752067,251.706387554777,43.2801333012276,153.5686138265,72.0457695944442,55.6722478162219,50.6265272854107,83.2652264237895,45.6141107979747,180.685428680878,336.049721242366,305.48302327803,43.459545938892,49.1788649036253,72.9850868286239,149.626909086884,134.377366411452
,3,130.780617691975,445.715926535043,398.593788699209,56.3074316218836,361.903799183052,232.800408241462,208.660418723152,475.099752459009,467.727539872811,71.7849824144014,115.677997944391,64.696327145768,184.364134882126,59.1932661545188,364.189624176857,268.122930964248,127.988117422568,108.5619377694,459.201031518814,69.8098684373863,105.501128140682,257.005373507303,82.0884763680697,115.943637208651,402.693180305891,478.479264074582,82.5365860710326,102.9017721337,69.2488312055893,70.6298122234339,372.444357920592,102.848563522542,436.089589519253,209.645312766693,66.5461611019909,229.11516065078,453.799971645973,400.601691210823,226.065791732777,158.188760730404,376.988876157347,236.819279430595,248.326492081707,267.016301556062,79.552603123142,66.6077693685584,427.252869170604,417.925454953263,100.070118697323,82.1996593835156,138.964293880114,65.3527831947313,188.056838498555,140.886493370427,63.5875033294678,230.465875521199,114.059880690053,116.197184671412,91.3033400359855,248.988604786128,416.751333961942,259.60098404113,379.802312224391,53.8318923145771,493.790776639053,120.010860405047,204.63891494727,118.530925356175,121.462281118324,436.146645612955,221.820437919562,97.8382562114521,85.954842874602,139.617347740212,58.3351663639796,125.932305184783,217.876278728155,249.404285445453,54.4875513985853,281.499416001459,360.251148517335,61.465663578454,218.970413779012,102.7068377312,79.1274645129233,71.9841940301885,118.413017737834,64.7844566695603,257.96233039146,482.43926817688,438.142323515554,61.7206267818747,69.8618519171951,103.996274020727,213.250884431559,191.473148153079
,4,185.691356371676,630.931907342135,564.580319594649,80.0055951136228,512.646928673191,330.206162640464,296.048612362709,672.332698196511,661.744040522606,101.978636114882,164.029699416238,91.9152683104685,261.6640069646,84.1008106574527,515.868574314841,380.232999549577,181.749406816451,153.932519157756,649.73630641095,99.1715918810432,149.658574564598,364.496395748885,116.576662079167,164.65104619525,570.162204850822,677.067492907445,117.224634631855,145.945564109242,98.3505624444215,100.330560130476,527.516077946465,145.853232221307,617.18325924293,297.448341058138,94.5450659642474,324.967725803206,642.444351619761,567.368127837552,320.691923465933,224.393882153307,533.923303317761,335.942231044751,352.19526744019,378.634608711661,112.990727372521,94.6297593893914,604.774716770337,591.601829678655,141.887821955706,116.732581621231,197.307297771224,92.8624925511222,266.888484274022,200.025052752354,90.340286599856,326.946078883698,161.698548368144,165.009496631498,129.642096521232,353.076363162407,589.969906768138,368.131991059483,538.038847458495,76.5058887871191,698.769697556749,170.417715880115,290.360407445572,168.331909448927,172.467891241479,617.371153695478,314.683445100598,138.826106021012,122.072878984825,198.222770278647,82.9054055942888,178.818690294283,309.127382646428,353.714266957515,77.4224581717062,399.122104101089,510.322765602436,87.3264452334888,310.648904828605,145.708978718264,112.389254933526,102.227180937083,168.154138419575,92.0402851525996,365.775255755262,682.514495921349,620.107128031423,87.6891202585266,99.2458014607791,147.56750760702,302.588058880868,271.709262847871
,5,262.92975760823,881.433062665626,790.753866444454,113.674222703749,718.238835158573,465.359004628895,417.723903915284,938.175163954533,922.525510761654,144.77223714396,230.95099752461,130.525082737333,369.772248573013,119.459875301753,722.650048410585,535.349688729973,257.487805496501,216.696853797596,906.087952815838,140.783847991885,211.072625905736,513.381708737241,165.231727616394,233.325670083776,797.277620215417,944.522303450036,166.21850369977,205.692308217402,139.446214875747,142.381159406009,738.703003344151,205.450068736628,861.520056214281,419.710663804881,134.276642855746,457.912445745202,897.878045349209,794.336193617258,452.169060288497,316.423053914175,747.493270167184,473.63456908332,496.118169824804,532.940273878007,160.255061760236,134.381599232769,844.752480534748,826.528971761894,199.708855523651,165.43784463597,279.356252522499,131.96838054081,377.034392001712,283.124642564504,128.294440995191,461.056124189637,227.465805659231,233.816972089964,183.604723420774,497.040391985,824.413388986637,518.237436212075,754.033524044741,108.821404442503,974.946459734942,241.430655304907,409.809737462082,238.568036038515,244.259472521299,862.410948220298,443.762405327687,196.028101387642,173.049031442974,280.579635189099,117.910441272857,253.2747057002,436.193230186956,498.206176811223,110.012914835849,561.462591019885,715.075421322381,124.025185840217,438.141424169663,205.591229759127,159.396238186921,144.885997754429,238.250364409239,130.702028537124,514.756774368989,951.255433521516,865.703592646069,124.539289265859,140.88852810996,208.380118690479,427.117270374264,383.683110475845
