,Cycle,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
,1,15.5824752454582,8.01143184158627,9.4393911260895,14.2745133961616,10.8122849399015,60.3972757717675,55.0490449376402,11.6407227084455,8.05031695473735,50.4158554642127,11.5577356252106,45.5850651536457,12.6123946762191,10.4636561058878,9.43676293280805,41.9423730832441,49.2712696351846,10.0810159226721,18.3530159346192,9.39987169282722,44.1122042455136,55.1826399745923,47.7835764907868,16.4024692733274,10.8287515422417,10.3286331029467,18.9359233766754,17.6108238894631,9.3233557798967,9.69609206329278,7.76613066703976,9.15523531217514,9.45420725096301,56.3693776254031,10.7159957478198,58.9789975241038,54.786751820302,14.7429286039887,17.1838274421843,18.2815075032613,45.9278022388062,7.88268526905904,9.46850783356876,16.5913157725327,10.0327416562659,52.2270804775571,8.80778437428216,10.9294348727608,7.27731818378379,8.29710800620524,42.0142199075162,43.3494214247385,52.6708702394417,10.2120696624588,59.2616865528926,9.90515156937727,15.7257915855525,9.84493881619437,11.4106755048606,17.4843524570551,16.7291386483712,8.29051935331154,58.9820145282047,10.8350357541322,49.850740658866,47.3494973675924,8.63564209801189,18.7337254148233,7.5814462573544,10.0229053371104,8.82343869426131,10.9454798460956,11.9315622226068,9.77349136040175,8.85780691554373,12.6721273208323,11.4681886452008,15.2948720682816,11.4892664627623,10.596796176329,14.7909519291688,11.8924074509932,20.5811163460294,46.4134925415801,9.23634228092942,43.1375490028977,12.0965426648345,10.8198938144387,8.06133444639909,11.0022836847274,9.41568040884795,17.7072055328836,8.68175113624693,14.3438427798992,9.68490608504635,52.1313210598319
,2,22.0586821202151,11.3221181143044,13.3591582714507,20.2158484323809,15.3058648668184,86.0506511669664,78.3740939841546,16.4808485660697,11.3901834553317,71.7362752757972,16.3637850604364,64.8335293928703,17.8578434346582,14.8113604312603,13.3559080095838,59.6203539285134,70.1019609505929,14.2525177323841,26.0072208892589,13.2910895538307,62.7137772979004,78.5703380477435,67.972428912858,23.2373847651006,15.3286778398997,14.6173501023577,26.8339147231518,24.9503584749609,13.1966291975596,13.7225493415272,10.9719595905972,12.957872516261,13.3799912120176,80.2765301160152,15.1675815891831,84.0134939730806,78.0172286355109,20.8808483064113,24.3452819821287,25.9043858167588,65.3162091179247,11.1505110866865,13.3847628824542,23.5043470951168,14.200179673514,74.3311428425232,12.4646767743907,15.4710169943446,10.2734610661573,11.741532783175,59.7200136982328,61.6336636653432,74.9813999234075,14.4528403081422,84.4185042904101,14.00800870487,22.275877599599,13.9338853528334,16.1533550475697,24.7707364807093,23.698872205613,11.7278545047566,84.0409999623271,15.3382906076549,70.9300207449742,67.345732862821,12.2202797341051,26.5445994706652,10.7135278824444,14.1863639632593,12.486646593452,15.484430788134,16.8918478010755,13.834060081881,12.5171444669759,17.9437543632403,16.2348230057351,21.664317776319,16.2656999297615,15.0012077458205,20.9493985024974,16.8323851705145,29.1718055999181,66.0101556821592,13.0721893442587,61.3309990070366,17.1239577975975,15.3145260086576,11.4072165826137,15.5732175831172,13.3226225007147,25.0864470696088,12.2852264370104,20.3114788971689,13.6977296070463,74.1943495727301
,3,31.3009363574856,16.0559361854675,18.955168247172,28.6908999313582,21.7189505226443,122.424419224794,111.469978263254,23.3861185724627,16.1603894022182,102.005061031091,23.2204284033523,92.172954976797,25.3423943438438,21.0171576309167,18.9507411977092,84.7434754941678,99.6785035771818,20.2128717099895,36.9179606179987,18.850834295009,89.1461988153069,111.753228157647,96.643004079483,32.9821975815848,21.75103254428,20.7401829897162,38.0935639481013,35.4170870861926,18.7226979415036,19.4710819752536,15.5572037546672,18.3849071277218,18.9844775769852,114.18876615424,21.5203444351027,119.516540981655,110.972656204539,29.636161610113,34.5573362100276,36.7715105696252,92.8580594833529,15.8179969368612,18.9821410814375,33.362295576394,20.1478594327109,105.705994268761,17.6854526936631,21.953601602796,14.5625381955524,16.6585071031386,84.8855063434476,87.6141692283782,106.641542462263,20.5062532760412,120.094023377714,19.8699330446134,31.6177132210651,19.7709187866458,22.9224435321676,35.1631700696853,33.6400617311747,16.6376571065257,119.568949931105,21.765099891727,100.85887491477,95.7458258371962,17.338796538279,37.6818108055904,15.1926148060511,20.1303352014784,17.7156225566832,21.9681398733837,23.968210948462,19.6291596908222,17.7474188320039,25.4638358536668,23.0388410553296,30.748540216171,23.0823470790792,21.2859333015622,29.732480009442,23.884781805973,41.4155089821061,93.8452175977618,18.5482788273957,87.1825260244859,24.2991257079539,21.7296598505845,16.1832810864635,22.0972890321063,18.9010252514008,35.6091057335607,17.4301862925822,28.8241432038358,19.429568374886,105.511504521077
,4,44.48349389951,22.822966454235,26.9386454404439,40.7708511948467,30.8651812191656,173.824390186453,158.2874666989,33.2349204724796,22.9676556205777,144.859122514591,32.9983665296495,130.904294221704,36.0137094657666,29.868366934078,26.9321678911765,120.362849683684,141.556833378721,28.7311972508369,52.458680789865,26.7938009747795,126.612959008054,158.687488430501,137.249410113826,46.867522421192,30.9124153041048,29.4762276712081,54.1293459479639,50.326684501827,26.6095352059765,27.6720378722721,22.1146294957862,26.1277115614157,26.9802087933622,162.141480604319,30.5851798064732,169.700102259222,157.576503669826,42.1138506466823,49.1053055568718,52.251387669884,131.878422444277,22.4812887032413,26.9815942750283,47.4075770926274,28.6347448797824,150.10950322524,25.1354806217705,31.1991989312082,20.7029835344138,23.6749547597365,120.565538348106,124.436187295716,151.432317419418,29.1428986370092,170.520103771421,28.2411966546661,44.9297493498543,28.0973912489153,32.5765771581528,49.9654308971276,47.8014250197593,23.6465775956594,169.767838350304,30.93023563114,143.231332830358,135.979490928832,24.6415547047263,53.5433838994613,21.5959586495774,28.6076673921098,25.1775015791263,31.2227348751394,34.0633451126687,27.896893630319,25.2289310629776,36.1866763335929,32.7411583781322,43.6943361333515,32.8018041068372,30.2503730098615,42.2521618417559,33.945101854144,58.8472219135192,133.280450650919,26.3598397032047,123.823033798928,34.5327617132971,30.8819333751189,23.0006028287125,31.4035500692507,26.8628302156385,50.5997094649792,24.77213008938,40.9622280658486,27.6165057766311,149.834064151252
,5,63.2678978450504,32.4977378052299,38.3206528549599,57.9715744997584,43.9000809198678,246.113977568026,224.228829812371,47.2668352925775,32.6766440246092,205.289804910057,46.930825145243,185.572445981342,51.2148634512478,42.482999832785,38.3107395036504,170.691213903288,200.620033902505,40.9013155531056,74.559368092333,38.1405722317286,179.536489769025,224.782944480055,194.541838633923,66.6258876885277,43.9657628304658,41.9299884108923,76.9286856443714,71.5364682902818,37.8514632260158,39.3629023230424,31.4971553257265,37.1683369431858,38.3805901070928,229.643430821874,43.5053457480462,240.308107440581,223.187241619803,59.8765357343709,69.8015990778331,74.2664056448166,186.960290005619,31.992185689106,38.4136412421649,67.3923189289935,40.7309514008375,212.693710836325,35.7552709079519,44.3746420570478,29.5019859144377,33.6816468530342,170.979825522543,176.43896022142,214.531182259429,41.4575916888734,241.4634892148,40.1949813784777,63.8728494436646,39.96834590453,46.3301222957452,71.0223528255619,67.9515421644073,33.6480409919168,240.357794387305,43.992925805921,202.985611498751,192.759201000113,35.0556434566361,76.1032595958923,30.7521201083882,40.6920163810028,35.8186215139249,44.4248843952728,48.4462033926156,39.679914260988,35.9285210650733,51.4591964391411,46.5640369806997,62.1208274317005,46.6513803505595,43.0254754332518,60.0718515307208,48.2814118045599,83.6229387046278,188.942175822003,37.4971007300737,175.574351327096,49.1144050023031,43.927291721222,32.7231794571262,44.6688463470828,38.2194440153726,71.92709540331,35.2420959427136,58.2485487667063,39.302631922179,212.302815308318
