,Well,Fluor,Target,Content,Sample,Cq,SQ
,A01,Cy5,E_covid,Neg Ctrl,,2.55476533906167,NaN
,A02,Cy5,E_covid,Unkn,,2.91191170634355,NaN
,A03,Cy5,E_covid,Unkn,,NaN,NaN
,A04,Cy5,E_covid,Unkn,,2.85209803058547,NaN
,A05,Cy5,E_covid,Unkn,,3.58597956393912,NaN
,A06,Cy5,E_covid,Unkn,,2.48565562485626,NaN
,A07,Cy5,E_covid,Unkn,,1.12152182344525,NaN
,A08,Cy5,E_covid,Unkn,,2.99607447577861,NaN
,A09,Cy5,E_covid,Unkn,,NaN,NaN
,A10,Cy5,E_covid,Pos Ctrl,,4.62645375658179,NaN
,A11,Cy5,E_covid,Unkn,,NaN,NaN
,A12,Cy5,E_covid,Unkn,,3.18195437896743,NaN
,B01,Cy5,E_covid,Unkn,,4.2462573067089,NaN
,B02,Cy5,E_covid,Unkn,,NaN,NaN
,B03,Cy5,E_covid,Unkn,,1.30689732939666,NaN
,B04,Cy5,E_covid,Unkn,,4.94074755806095,NaN
,B05,Cy5,E_covid,Unkn,,2.94294785152783,NaN
,B06,Cy5,E_covid,Unkn,,2.92105530878531,NaN
,B07,Cy5,E_covid,Unkn,,3.55285786102771,NaN
,B08,Cy5,E_covid,Unkn,,NaN,NaN
,B09,Cy5,E_covid,Unkn,,2.80590694340229,NaN
,B10,Cy5,E_covid,Unkn,,2.35127606015985,NaN
,B11,Cy5,E_covid,Unkn,,1.0803718404685,NaN
,B12,Cy5,E_covid,Unkn,,3.89669440121844,NaN
,C01,Cy5,E_covid,Unkn,,NaN,NaN
,C02,Cy5,E_covid,Unkn,,4.68294889472192,NaN
,C03,Cy5,E_covid,Unkn,,NaN,NaN
,C04,Cy5,E_covid,Unkn,,NaN,NaN
,C05,Cy5,E_covid,Unkn,,NaN,NaN
,C06,Cy5,E_covid,Unkn,,2.70986224213461,NaN
,C07,Cy5,E_covid,Unkn,,3.97728283435618,NaN
,C08,Cy5,E_covid,Unkn,,NaN,NaN
,C09,Cy5,E_covid,Unkn,,NaN,NaN
,C10,Cy5,E_covid,Unkn,,2.66360093761338,NaN
,C11,Cy5,E_covid,Unkn,,NaN,NaN
,C12,Cy5,E_covid,Unkn,,NaN,NaN
,D01,Cy5,E_covid,Unkn,,NaN,NaN
